module	matched_panel_gene	random_gene
random_matched_096	TSHR	EIF3I
random_matched_097	DIO1	KCNMA1
random_matched_097	FOXE1	DHX9
random_matched_097	NKX2-1	TALDO1
random_matched_097	PAX8	DSTN
random_matched_097	SLC5A5	LIPE
random_matched_097	TG	KRT18
random_matched_097	TPO	CLIC3
random_matched_097	TSHR	JUN
random_matched_098	DIO1	ZCCHC7
random_matched_098	FOXE1	NR1H2
random_matched_098	NKX2-1	NINJ1
random_matched_098	PAX8	PPP1R14B
random_matched_098	SLC5A5	SLC13A3
random_matched_098	TG	SNHG5
random_matched_098	TPO	WARS
random_matched_098	TSHR	OS9
random_matched_099	DIO1	SMPDL3A
random_matched_099	FOXE1	AHR
random_matched_099	NKX2-1	MVP
random_matched_099	PAX8	NEDD8
random_matched_099	SLC5A5	BTC
random_matched_099	TG	LY6E
random_matched_099	TPO	KRT18
random_matched_099	TSHR	ZYX
random_matched_100	DIO1	WDR19
random_matched_100	FOXE1	HDDC2
random_matched_100	NKX2-1	ARF4
random_matched_100	PAX8	COPS9
random_matched_100	SLC5A5	LYPD1
random_matched_100	TG	GPX4
random_matched_100	TPO	PSMA7
random_matched_100	TSHR	TPM2
random_matched_101	DIO1	ENC1
random_matched_101	FOXE1	CTSZ
random_matched_101	NKX2-1	EID1
random_matched_101	PAX8	SNHG8
random_matched_101	SLC5A5	AC008014.1
random_matched_101	TG	ATP1A1
random_matched_101	TPO	CHCHD2
random_matched_101	TSHR	PRELID1
random_matched_102	DIO1	SLC19A1
random_matched_102	FOXE1	MED15
random_matched_102	NKX2-1	STUB1
random_matched_102	PAX8	CAV1
random_matched_102	SLC5A5	LINC02361
random_matched_102	TG	HLA-DRB1
random_matched_102	TPO	CHCHD2
random_matched_102	TSHR	UBE2V1
random_matched_103	DIO1	TMPRSS2
random_matched_103	FOXE1	DANCR
random_matched_103	NKX2-1	SNRPD3
random_matched_103	PAX8	IFI6
random_matched_103	SLC5A5	CCDC102B
random_matched_103	TG	CTSD
random_matched_103	TPO	CRYAB
random_matched_103	TSHR	SRSF9
random_matched_104	DIO1	CLBA1
random_matched_104	FOXE1	DYNC1LI2
random_matched_104	NKX2-1	EFHD2
random_matched_104	PAX8	ASAH1
random_matched_104	SLC5A5	COL11A1
random_matched_104	TG	COX6B1
random_matched_104	TPO	NDUFA3
random_matched_104	TSHR	DAPK2
random_matched_105	DIO1	HCG18
random_matched_105	FOXE1	DHX9
random_matched_105	NKX2-1	HM13
random_matched_105	PAX8	FIS1
random_matched_105	SLC5A5	PPP3CB-AS1
random_matched_105	TG	MGST1
random_matched_105	TPO	SELENOW
random_matched_105	TSHR	LINC01578
random_matched_106	DIO1	ARHGAP6
random_matched_106	FOXE1	MEAF6
random_matched_106	NKX2-1	PRELID1
random_matched_106	PAX8	SNU13
random_matched_106	SLC5A5	POGLUT2
random_matched_106	TG	CALR
random_matched_106	TPO	CD151
random_matched_106	TSHR	AEBP1
random_matched_107	DIO1	KLHL5
random_matched_107	FOXE1	POLD2
random_matched_107	NKX2-1	EIF4G1
random_matched_107	PAX8	NDUFC1
random_matched_107	SLC5A5	GVQW3
random_matched_107	TG	SNHG25
random_matched_107	TPO	SLC25A3
random_matched_107	TSHR	CAMK2N1
random_matched_108	DIO1	PIGV
random_matched_108	FOXE1	STT3B
random_matched_108	NKX2-1	UQCRC1
random_matched_108	PAX8	LMNA
random_matched_108	SLC5A5	ZNF345
random_matched_108	TG	NUPR1
random_matched_108	TPO	HNRNPK
random_matched_108	TSHR	AURKAIP1
random_matched_109	DIO1	HMOX1
random_matched_109	FOXE1	UACA
random_matched_109	NKX2-1	UBE2V1
random_matched_109	PAX8	ATP5MC2
random_matched_109	SLC5A5	AC124248.1
random_matched_109	TG	TIMP1
random_matched_109	TPO	CYBA
random_matched_109	TSHR	PSMB7
random_matched_110	DIO1	LRFN4
random_matched_110	FOXE1	ERI3
random_matched_110	NKX2-1	DNAJA1
random_matched_110	PAX8	LDHB
random_matched_110	SLC5A5	CCL22
random_matched_110	TG	SNHG29
random_matched_110	TPO	NPM1
random_matched_110	TSHR	ARPC1B
random_matched_111	DIO1	IFI44L
random_matched_111	FOXE1	DYNC1LI2
random_matched_111	NKX2-1	ATP5PD
random_matched_111	PAX8	TRIR
random_matched_111	SLC5A5	FUT10
random_matched_111	TG	SLC25A3
random_matched_111	TPO	HOPX
random_matched_111	TSHR	NDUFAB1
random_matched_112	DIO1	LCN10
random_matched_112	FOXE1	TPCN1
random_matched_112	NKX2-1	SSU72
random_matched_112	PAX8	NDUFS8
random_matched_112	SLC5A5	ACOT4
random_matched_112	TG	EEF1D
random_matched_112	TPO	PLPP3
random_matched_112	TSHR	ARPC2
random_matched_113	DIO1	SLC19A1
random_matched_113	FOXE1	KLHDC2
random_matched_113	NKX2-1	ANAPC16
random_matched_113	PAX8	BEX3
random_matched_113	SLC5A5	FAAP24
random_matched_113	TG	HSPA5
random_matched_113	TPO	IGHG1
random_matched_113	TSHR	RBM8A
random_matched_114	DIO1	SNAI2
random_matched_114	FOXE1	BAX
random_matched_114	NKX2-1	DNAJA1
random_matched_114	PAX8	CRIP2
random_matched_114	SLC5A5	EFNA5
random_matched_114	TG	PDIA3
random_matched_114	TPO	SNHG6
random_matched_114	TSHR	ANAPC16
random_matched_115	DIO1	HAGHL
random_matched_115	FOXE1	PPT1
random_matched_115	NKX2-1	LMAN2
random_matched_115	PAX8	LDHA
random_matched_115	SLC5A5	ACRBP
random_matched_115	TG	SNRPD2
random_matched_115	TPO	COX6C
random_matched_115	TSHR	SMIM4
random_matched_116	DIO1	TMCO3
random_matched_116	FOXE1	RIC8A
random_matched_116	NKX2-1	HM13
random_matched_116	PAX8	SNHG5
random_matched_116	SLC5A5	AC020909.2
random_matched_116	TG	BTF3
random_matched_116	TPO	EEF1B2
random_matched_116	TSHR	POMP
random_matched_117	DIO1	CAPRIN2
random_matched_117	FOXE1	REEP3
random_matched_117	NKX2-1	MRPL51
random_matched_117	PAX8	DDT
random_matched_117	SLC5A5	KLHL35
random_matched_117	TG	EEF1B2
random_matched_117	TPO	NDUFS5
random_matched_117	TSHR	EIF3M
random_matched_118	DIO1	CLBA1
random_matched_118	FOXE1	SDHB
random_matched_118	NKX2-1	AK1
random_matched_118	PAX8	CTSH
random_matched_118	SLC5A5	DISP2
random_matched_118	TG	CCNI
random_matched_118	TPO	BEX3
random_matched_118	TSHR	FCGRT
random_matched_119	DIO1	MYO1E
random_matched_119	FOXE1	FYN
random_matched_119	NKX2-1	TRAPPC1
random_matched_119	PAX8	TXNIP
random_matched_119	SLC5A5	FAAP24
random_matched_119	TG	UBB
random_matched_119	TPO	EIF4A2
random_matched_119	TSHR	ISG15
random_matched_120	DIO1	ZNF514
random_matched_120	FOXE1	TPMT
random_matched_120	NKX2-1	UBE2V1
random_matched_120	PAX8	CD99
random_matched_120	SLC5A5	LBX2-AS1
random_matched_120	TG	NDUFA11
random_matched_120	TPO	GLUL
random_matched_120	TSHR	SF3B6
random_matched_121	DIO1	TBL1X
random_matched_121	FOXE1	BCAM
random_matched_121	NKX2-1	NINJ1
random_matched_121	PAX8	ASAH1
random_matched_121	SLC5A5	LIFR-AS1
random_matched_121	TG	PPP1R14B
random_matched_121	TPO	HNRNPK
random_matched_121	TSHR	ZNHIT1
random_matched_122	DIO1	PIGV
random_matched_122	FOXE1	UACA
random_matched_122	NKX2-1	SF3B5
random_matched_122	PAX8	EIF5A
random_matched_122	SLC5A5	NOVA2
random_matched_122	TG	MGP
random_matched_122	TPO	CHCHD10
random_matched_122	TSHR	MRPL51
random_matched_123	DIO1	AP004609.3
random_matched_123	FOXE1	AZIN1
random_matched_123	NKX2-1	KLF6
random_matched_123	PAX8	LGALS3
random_matched_123	SLC5A5	EDA
random_matched_123	TG	IGHG4
random_matched_123	TPO	NDUFC2
random_matched_123	TSHR	PLVAP
random_matched_124	DIO1	HAGHL
random_matched_124	FOXE1	CLDN5
random_matched_124	NKX2-1	TMED9
random_matched_124	PAX8	ATP6V0C
random_matched_124	SLC5A5	AC008014.1
random_matched_124	TG	NPM1
random_matched_124	TPO	CTSC
random_matched_124	TSHR	S100A14
random_matched_125	DIO1	GBP4
random_matched_125	FOXE1	IER3IP1
random_matched_125	NKX2-1	NMB
random_matched_125	PAX8	C4orf48
random_matched_125	SLC5A5	TNFAIP8L2
random_matched_125	TG	DSTN
random_matched_125	TPO	LDHB
random_matched_125	TSHR	PHB2
random_matched_126	DIO1	TMEM19
random_matched_126	FOXE1	CLNS1A
random_matched_126	NKX2-1	NDUFAF3
random_matched_126	PAX8	SNRPG
random_matched_126	SLC5A5	FLG-AS1
random_matched_126	TG	TNFRSF12A
random_matched_126	TPO	ATP5MD
random_matched_126	TSHR	SLC25A29
random_matched_127	DIO1	MPP1
random_matched_127	FOXE1	DNAJB6
random_matched_127	NKX2-1	NDUFA6
random_matched_127	PAX8	C12orf57
random_matched_127	SLC5A5	WDFY4
random_matched_127	TG	SNHG29
random_matched_127	TPO	AP2M1
random_matched_127	TSHR	TACSTD2
random_matched_128	DIO1	DSC2
random_matched_128	FOXE1	ARL8B
random_matched_128	NKX2-1	LMAN2
random_matched_128	PAX8	OST4
random_matched_128	SLC5A5	SKA3
random_matched_128	TG	HSP90B1
random_matched_128	TPO	ZFP36L2
random_matched_128	TSHR	EGR1
random_matched_129	DIO1	SPATA2
random_matched_129	FOXE1	NCOR1
random_matched_129	NKX2-1	MYDGF
random_matched_129	PAX8	A2M
random_matched_129	SLC5A5	ARHGAP33
random_matched_129	TG	CTSD
random_matched_129	TPO	NDUFB11
random_matched_129	TSHR	HIGD2A
random_matched_130	DIO1	CHST14
random_matched_130	FOXE1	CHMP4A
random_matched_130	NKX2-1	CAP1
random_matched_130	PAX8	C9orf16
random_matched_130	SLC5A5	PTPRN
random_matched_130	TG	SLC34A2
random_matched_130	TPO	CD99
random_matched_130	TSHR	UBA1
random_matched_131	DIO1	VSIG4
random_matched_131	FOXE1	CAND1
random_matched_131	NKX2-1	NME3
random_matched_131	PAX8	PARK7
random_matched_131	SLC5A5	C1orf74
random_matched_131	TG	FLNA
random_matched_131	TPO	TXNIP
random_matched_131	TSHR	CTTN
random_matched_132	DIO1	TRAM2
random_matched_132	FOXE1	MBTPS1
random_matched_132	NKX2-1	LINC01578
random_matched_132	PAX8	TSPO
random_matched_132	SLC5A5	POGLUT2
random_matched_132	TG	SNRPD2
random_matched_132	TPO	CSTB
random_matched_132	TSHR	FXYD5
random_matched_133	DIO1	TIMM8A
random_matched_133	FOXE1	VASP
random_matched_133	NKX2-1	EFHD2
random_matched_133	PAX8	MAGED2
random_matched_133	SLC5A5	ABCG2
random_matched_133	TG	CXCL14
random_matched_133	TPO	MYL12A
random_matched_133	TSHR	ZFP36
random_matched_134	DIO1	FLRT3
random_matched_134	FOXE1	ANAPC5
random_matched_134	NKX2-1	PSMA1
random_matched_134	PAX8	DDX17
random_matched_134	SLC5A5	MBLAC1
random_matched_134	TG	MDK
random_matched_134	TPO	UBL5
random_matched_134	TSHR	RCN1
random_matched_135	DIO1	CAPN5
random_matched_135	FOXE1	CTSZ
random_matched_135	NKX2-1	PSMA6
random_matched_135	PAX8	PLD3
random_matched_135	SLC5A5	ABCG2
random_matched_135	TG	UQCRB
random_matched_135	TPO	TXNIP
random_matched_135	TSHR	SNRPD3
random_matched_136	DIO1	ZFP64
random_matched_136	FOXE1	DNPH1
random_matched_136	NKX2-1	PTOV1
random_matched_136	PAX8	ARL6IP4
random_matched_136	SLC5A5	FUT10
random_matched_136	TG	EIF4A1
random_matched_136	TPO	PARK7
random_matched_136	TSHR	SLPI
random_matched_137	DIO1	PCDH7
random_matched_137	FOXE1	CNIH1
random_matched_137	NKX2-1	CRTAP
random_matched_137	PAX8	TRMT112
random_matched_137	SLC5A5	USP27X
random_matched_137	TG	ATP5MC2
random_matched_137	TPO	ATP1A1
random_matched_137	TSHR	COX5A
random_matched_138	DIO1	TTI1
random_matched_138	FOXE1	MED15
random_matched_138	NKX2-1	CD164
random_matched_138	PAX8	ATP6V0B
random_matched_138	SLC5A5	MSC
random_matched_138	TG	NDUFB2
random_matched_138	TPO	ATP5MG
random_matched_138	TSHR	HIGD2A
random_matched_139	DIO1	DCAF1
random_matched_139	FOXE1	CLNS1A
random_matched_139	NKX2-1	ANAPC16
random_matched_139	PAX8	EIF3K
random_matched_139	SLC5A5	ZNF738
random_matched_139	TG	MXRA7
random_matched_139	TPO	ATF4
random_matched_139	TSHR	CNN3
random_matched_140	DIO1	CARD16
random_matched_140	FOXE1	SH3GLB1
random_matched_140	NKX2-1	MAT2A
random_matched_140	PAX8	SFTPB
random_matched_140	SLC5A5	RBM11
random_matched_140	TG	NDUFC2
random_matched_140	TPO	C12orf57
random_matched_140	TSHR	HSPD1
random_matched_141	DIO1	YARS2
random_matched_141	FOXE1	MBTPS1
random_matched_141	NKX2-1	ATRAID
random_matched_141	PAX8	SLC25A3
random_matched_141	SLC5A5	HIC2
random_matched_141	TG	MYL12A
random_matched_141	TPO	SNHG5
random_matched_141	TSHR	C4orf3
random_matched_142	DIO1	TMEM163
random_matched_142	FOXE1	ERI3
random_matched_142	NKX2-1	UQCRC1
random_matched_142	PAX8	CAPNS1
random_matched_142	SLC5A5	HIC2
random_matched_142	TG	MYL9
random_matched_142	TPO	HOPX
random_matched_142	TSHR	SNX5
random_matched_143	DIO1	SLC1A4
random_matched_143	FOXE1	KLHDC2
random_matched_143	NKX2-1	NUDC
random_matched_143	PAX8	RPN2
random_matched_143	SLC5A5	PCYOX1L
random_matched_143	TG	CD99
random_matched_143	TPO	CIRBP
random_matched_143	TSHR	PDCD4
random_matched_144	DIO1	CENPN
random_matched_144	FOXE1	PLEKHJ1
random_matched_144	NKX2-1	TMEM141
random_matched_144	PAX8	CSTB
random_matched_144	SLC5A5	SCN2B
random_matched_144	TG	APOC1
random_matched_144	TPO	CD99
random_matched_144	TSHR	SNRPD3
random_matched_145	DIO1	PDLIM3
random_matched_145	FOXE1	GNPTG
random_matched_145	NKX2-1	ARHGDIB
random_matched_145	PAX8	GNG5
random_matched_145	SLC5A5	C7orf31
random_matched_145	TG	UBC
random_matched_145	TPO	ATP5MC2
random_matched_145	TSHR	SLC3A2
random_matched_146	DIO1	IFIT5
random_matched_146	FOXE1	PARP14
random_matched_146	NKX2-1	ARPC2
random_matched_146	PAX8	HNRNPC
random_matched_146	SLC5A5	TTN-AS1
random_matched_146	TG	C19orf33
random_matched_146	TPO	DDT
random_matched_146	TSHR	ATP5PD
random_matched_147	DIO1	PCDH7
random_matched_147	FOXE1	MAPRE1
random_matched_147	NKX2-1	ATP5PD
random_matched_147	PAX8	GLUL
random_matched_147	SLC5A5	KLF15
random_matched_147	TG	ANXA1
random_matched_147	TPO	COX7A2
random_matched_147	TSHR	CIAO2B
random_matched_148	DIO1	GSKIP
random_matched_148	FOXE1	TMEM106C
random_matched_148	NKX2-1	ARPC2
random_matched_148	PAX8	PCBP2
random_matched_148	SLC5A5	KIAA1549
random_matched_148	TG	MGST1
random_matched_148	TPO	HLA-DRA
random_matched_148	TSHR	PDLIM4
random_matched_149	DIO1	DDX58
random_matched_149	FOXE1	MARCH6
random_matched_149	NKX2-1	PTOV1
random_matched_149	PAX8	LDHB
random_matched_149	SLC5A5	AL109628.2
random_matched_149	TG	EDF1
random_matched_149	TPO	CRYAB
random_matched_149	TSHR	VCP
random_matched_150	DIO1	NPTXR
random_matched_150	FOXE1	AKT2
random_matched_150	NKX2-1	VCP
random_matched_150	PAX8	RAN
random_matched_150	SLC5A5	CBWD6
random_matched_150	TG	SPARC
random_matched_150	TPO	P4HB
random_matched_150	TSHR	DSP
random_matched_151	DIO1	ZNF680
random_matched_151	FOXE1	PLEKHB2
random_matched_151	NKX2-1	CLTC
random_matched_151	PAX8	HLA-DPA1
random_matched_151	SLC5A5	SRCIN1
random_matched_151	TG	PABPC1
random_matched_151	TPO	LGALS3BP
random_matched_151	TSHR	PRELID1
random_matched_152	DIO1	ZWINT
random_matched_152	FOXE1	PGD
random_matched_152	NKX2-1	PSMB6
random_matched_152	PAX8	SNHG25
random_matched_152	SLC5A5	SEC61A2
random_matched_152	TG	ECRG4
random_matched_152	TPO	NEDD8
random_matched_152	TSHR	SNRPE
random_matched_153	DIO1	QSOX2
random_matched_153	FOXE1	ZBTB4
random_matched_153	NKX2-1	HLA-DQB1
random_matched_153	PAX8	YBX1
random_matched_153	SLC5A5	FUT10
random_matched_153	TG	PPP1R14B
random_matched_153	TPO	HLA-E
random_matched_153	TSHR	SSU72
random_matched_154	DIO1	CMYA5
random_matched_154	FOXE1	RRP7A
random_matched_154	NKX2-1	MRPL41
random_matched_154	PAX8	LGALS3BP
random_matched_154	SLC5A5	RNFT2
random_matched_154	TG	CD9
random_matched_154	TPO	MGST1
random_matched_154	TSHR	PSMC3
random_matched_155	DIO1	WDR19
random_matched_155	FOXE1	M6PR
random_matched_155	NKX2-1	TMED9
random_matched_155	PAX8	CAPG
random_matched_155	SLC5A5	C7orf31
random_matched_155	TG	NOP53
random_matched_155	TPO	NDUFA4
random_matched_155	TSHR	NDUFAF3
random_matched_156	DIO1	EDNRA
random_matched_156	FOXE1	MRPL36
random_matched_156	NKX2-1	FXYD5
random_matched_156	PAX8	BTF3
random_matched_156	SLC5A5	CTH
random_matched_156	TG	IFI27
random_matched_156	TPO	CAPNS1
random_matched_156	TSHR	CTTN
random_matched_157	DIO1	SLC1A4
random_matched_157	FOXE1	HMG20B
random_matched_157	NKX2-1	KLF6
random_matched_157	PAX8	CPE
random_matched_157	SLC5A5	IL12RB1
random_matched_157	TG	ATP5F1E
random_matched_157	TPO	ROMO1
random_matched_157	TSHR	PRNP
random_matched_158	DIO1	IFIT5
random_matched_158	FOXE1	FKBP3
random_matched_158	NKX2-1	ATRAID
random_matched_158	PAX8	NDUFC1
random_matched_158	SLC5A5	ZNF738
random_matched_158	TG	CANX
random_matched_158	TPO	SERPINE1
random_matched_158	TSHR	PSME2
random_matched_159	DIO1	ADAMTS9
random_matched_159	FOXE1	PKP4
random_matched_159	NKX2-1	CAMK2N1
random_matched_159	PAX8	RAC1
random_matched_159	SLC5A5	AC091271.1
random_matched_159	TG	H3F3A
random_matched_159	TPO	IFI27
random_matched_159	TSHR	TIMP2
random_matched_160	DIO1	TMEM132A
random_matched_160	FOXE1	UBTF
random_matched_160	NKX2-1	EMP3
random_matched_160	PAX8	NDUFA3
random_matched_160	SLC5A5	CEP128
random_matched_160	TG	CALM2
random_matched_160	TPO	CLTA
random_matched_160	TSHR	CYBRD1
random_matched_161	DIO1	FRMD6
random_matched_161	FOXE1	SLC17A5
random_matched_161	NKX2-1	ATP6AP2
random_matched_161	PAX8	KRTCAP2
random_matched_161	SLC5A5	PBLD
random_matched_161	TG	HMGN2
random_matched_161	TPO	ATP1B1
random_matched_161	TSHR	ARPC2
random_matched_162	DIO1	KLHL5
random_matched_162	FOXE1	STK24
random_matched_162	NKX2-1	PTOV1
random_matched_162	PAX8	SELENOH
random_matched_162	SLC5A5	RNF165
random_matched_162	TG	CD9
random_matched_162	TPO	MYH9
random_matched_162	TSHR	EID1
random_matched_163	DIO1	ROBO4
random_matched_163	FOXE1	SVIL
random_matched_163	NKX2-1	PGAM1
random_matched_163	PAX8	COX8A
random_matched_163	SLC5A5	LRRC8E
random_matched_163	TG	HLA-DRA
random_matched_163	TPO	MT1G
random_matched_163	TSHR	TACSTD2
random_matched_164	DIO1	ARHGAP6
random_matched_164	FOXE1	DYNC1LI2
random_matched_164	NKX2-1	PTOV1
random_matched_164	PAX8	WFDC2
random_matched_164	SLC5A5	AL137186.2
random_matched_164	TG	HSP90AB1
random_matched_164	TPO	RHOA
random_matched_164	TSHR	PPA1
random_matched_165	DIO1	MEST
random_matched_165	FOXE1	SNHG9
random_matched_165	NKX2-1	CRTAP
random_matched_165	PAX8	BANF1
random_matched_165	SLC5A5	AC099791.2
random_matched_165	TG	HMGN2
random_matched_165	TPO	IFI27
random_matched_165	TSHR	APMAP
random_matched_166	DIO1	OAS3
random_matched_166	FOXE1	PFDN1
random_matched_166	NKX2-1	DAZAP2
random_matched_166	PAX8	CTNNB1
random_matched_166	SLC5A5	C1orf74
random_matched_166	TG	MGST1
random_matched_166	TPO	ID3
random_matched_166	TSHR	POMP
random_matched_167	DIO1	TMEM209
random_matched_167	FOXE1	FZD1
random_matched_167	NKX2-1	ATP5MC1
random_matched_167	PAX8	YWHAE
random_matched_167	SLC5A5	CD1C
random_matched_167	TG	UQCR11
random_matched_167	TPO	SKP1
random_matched_167	TSHR	DCN
random_matched_168	DIO1	MED7
random_matched_168	FOXE1	TPCN1
random_matched_168	NKX2-1	PRKAR1A
random_matched_168	PAX8	ATP5MC2
random_matched_168	SLC5A5	CEP128
random_matched_168	TG	GPX3
random_matched_168	TPO	HSP90AA1
random_matched_168	TSHR	PHLDA2
random_matched_169	DIO1	SMPDL3A
random_matched_169	FOXE1	LAP3
random_matched_169	NKX2-1	FUS
random_matched_169	PAX8	SKP1
random_matched_169	SLC5A5	SKA3
random_matched_169	TG	SH3BGRL3
random_matched_169	TPO	SLC25A3
random_matched_169	TSHR	DNAJA1
random_matched_170	DIO1	NOTCH4
random_matched_170	FOXE1	MRPS18C
random_matched_170	NKX2-1	SSR2
random_matched_170	PAX8	NDUFS5
random_matched_170	SLC5A5	ZNF707
random_matched_170	TG	RHOA
random_matched_170	TPO	HSPA8
random_matched_170	TSHR	RBM8A
random_matched_171	DIO1	KCNMA1
random_matched_171	FOXE1	SRSF10
random_matched_171	NKX2-1	ANAPC16
random_matched_171	PAX8	HNRNPK
random_matched_171	SLC5A5	LYPD1
random_matched_171	TG	SNHG8
random_matched_171	TPO	CTNNB1
random_matched_171	TSHR	DAPK2
random_matched_172	DIO1	CDK12
random_matched_172	FOXE1	MRPS23
random_matched_172	NKX2-1	TMEM141
random_matched_172	PAX8	S100A1
random_matched_172	SLC5A5	WDFY4
random_matched_172	TG	ATP1B1
random_matched_172	TPO	HMGB1
random_matched_172	TSHR	CSNK2B
random_matched_173	DIO1	CMTR2
random_matched_173	FOXE1	PARP14
random_matched_173	NKX2-1	CD164
random_matched_173	PAX8	YWHAZ
random_matched_173	SLC5A5	AL353622.1
random_matched_173	TG	POLR2L
random_matched_173	TPO	CCN2
random_matched_173	TSHR	SNRPC
random_matched_174	DIO1	BAZ1A
random_matched_174	FOXE1	VAMP3
random_matched_174	NKX2-1	CSNK2B
random_matched_174	PAX8	C4orf48
random_matched_174	SLC5A5	AC107308.1
random_matched_174	TG	SLC34A2
random_matched_174	TPO	COPS9
random_matched_174	TSHR	STMN1
random_matched_175	DIO1	WDR60
random_matched_175	FOXE1	GPR108
random_matched_175	NKX2-1	JUN
random_matched_175	PAX8	C12orf57
random_matched_175	SLC5A5	CD163L1
random_matched_175	TG	PPIB
random_matched_175	TPO	LDHB
random_matched_175	TSHR	SEC11A
random_matched_176	DIO1	EXOSC9
random_matched_176	FOXE1	EBNA1BP2
random_matched_176	NKX2-1	CRTAP
random_matched_176	PAX8	UQCRQ
random_matched_176	SLC5A5	FAAP24
random_matched_176	TG	EIF4G2
random_matched_176	TPO	FCGBP
random_matched_176	TSHR	CSNK2B
random_matched_177	DIO1	NABP1
random_matched_177	FOXE1	INTS1
random_matched_177	NKX2-1	CCT7
random_matched_177	PAX8	BANF1
random_matched_177	SLC5A5	AC138150.2
random_matched_177	TG	ECRG4
random_matched_177	TPO	TLE5
random_matched_177	TSHR	MRFAP1
random_matched_178	DIO1	ITGB3BP
random_matched_178	FOXE1	PPT1
random_matched_178	NKX2-1	PHB2
random_matched_178	PAX8	CAPNS1
random_matched_178	SLC5A5	POGLUT2
random_matched_178	TG	CYBA
random_matched_178	TPO	COX6C
random_matched_178	TSHR	IYD
random_matched_179	DIO1	WDR12
random_matched_179	FOXE1	DDAH1
random_matched_179	NKX2-1	C16orf89
random_matched_179	PAX8	COX8A
random_matched_179	SLC5A5	PBLD
random_matched_179	TG	COMMD6
random_matched_179	TPO	COX5B
random_matched_179	TSHR	UBA1
random_matched_180	DIO1	TBC1D10C
random_matched_180	FOXE1	SDHD
random_matched_180	NKX2-1	ALKBH7
random_matched_180	PAX8	LDHB
random_matched_180	SLC5A5	MSH5
random_matched_180	TG	DDX5
random_matched_180	TPO	PRDX6
random_matched_180	TSHR	RNH1
random_matched_181	DIO1	ZWINT
random_matched_181	FOXE1	CLNS1A
random_matched_181	NKX2-1	PSMC3
random_matched_181	PAX8	COPS9
random_matched_181	SLC5A5	KCNN3
random_matched_181	TG	MYL9
random_matched_181	TPO	GABARAP
random_matched_181	TSHR	HIGD2A
random_matched_182	DIO1	FEN1
random_matched_182	FOXE1	CKLF
random_matched_182	NKX2-1	SEPTIN2
random_matched_182	PAX8	CLIC1
random_matched_182	SLC5A5	SCN2B
random_matched_182	TG	APLP2
random_matched_182	TPO	MGST1
random_matched_182	TSHR	AK1
random_matched_183	DIO1	MAD2L1BP
random_matched_183	FOXE1	MAPRE1
random_matched_183	NKX2-1	ATP6V1F
random_matched_183	PAX8	SKP1
random_matched_183	SLC5A5	KIAA1958
random_matched_183	TG	KRT8
random_matched_183	TPO	SPINT2
random_matched_183	TSHR	NDUFB8
random_matched_184	DIO1	UTP25
random_matched_184	FOXE1	UFD1
random_matched_184	NKX2-1	EMP1
random_matched_184	PAX8	ADIRF
random_matched_184	SLC5A5	SGO1
random_matched_184	TG	PDIA3
random_matched_184	TPO	ATP1B1
random_matched_184	TSHR	TUBA1C
random_matched_185	DIO1	NR3C2
random_matched_185	FOXE1	HNRNPH2
random_matched_185	NKX2-1	SF3B5
random_matched_185	PAX8	MDK
random_matched_185	SLC5A5	PLD6
random_matched_185	TG	EEF1D
random_matched_185	TPO	PLXNB2
random_matched_185	TSHR	MCL1
random_matched_186	DIO1	CAMSAP1
random_matched_186	FOXE1	SDHD
random_matched_186	NKX2-1	NDUFAF3
random_matched_186	PAX8	PLXNB2
random_matched_186	SLC5A5	CLCN2
random_matched_186	TG	SNHG8
random_matched_186	TPO	S100A4
random_matched_186	TSHR	HSPD1
random_matched_187	DIO1	FAXDC2
random_matched_187	FOXE1	M6PR
random_matched_187	NKX2-1	SSR2
random_matched_187	PAX8	TUBB4B
random_matched_187	SLC5A5	CHRD
random_matched_187	TG	ATP5MD
random_matched_187	TPO	KRT19
random_matched_187	TSHR	CIB1
random_matched_188	DIO1	FLRT3
random_matched_188	FOXE1	ITGA9
random_matched_188	NKX2-1	EMP1
random_matched_188	PAX8	BSG
random_matched_188	SLC5A5	AC073611.1
random_matched_188	TG	COX7C
random_matched_188	TPO	ATP1A1
random_matched_188	TSHR	TMEM123
random_matched_189	DIO1	SMPDL3A
random_matched_189	FOXE1	DYNC1LI2
random_matched_189	NKX2-1	ARPC2
random_matched_189	PAX8	COX6B1
random_matched_189	SLC5A5	SPAG1
random_matched_189	TG	TMA7
random_matched_189	TPO	TBCA
random_matched_189	TSHR	ARF4
random_matched_190	DIO1	MEST
random_matched_190	FOXE1	IDH3G
random_matched_190	NKX2-1	HSPG2
random_matched_190	PAX8	NAP1L1
random_matched_190	SLC5A5	OLR1
random_matched_190	TG	MYL9
random_matched_190	TPO	SSR3
random_matched_190	TSHR	EIF3I
random_matched_191	DIO1	PIGBOS1
random_matched_191	FOXE1	CACYBP
random_matched_191	NKX2-1	IFI30
random_matched_191	PAX8	TMBIM6
random_matched_191	SLC5A5	IL21R
random_matched_191	TG	ATP5MG
random_matched_191	TPO	BEX3
random_matched_191	TSHR	PIGT
random_matched_192	DIO1	KCNMA1
random_matched_192	FOXE1	SMIM1
random_matched_192	NKX2-1	COL18A1
random_matched_192	PAX8	SOD1
random_matched_192	SLC5A5	PLD6
random_matched_192	TG	H3F3B
random_matched_192	TPO	CLIC3
