cluster_1,,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell
THBS1,ITGB6,,0.0,0.0,,1.0,1.0,,0.0,0.0
PRSS1,PRSS2,,,,,,,,,
IL17F,CXCL10,,,,,,,,,
VEGFA,CDH5,1.0,1.0,1.0,0.546,0.0,0.068,1.0,1.0,1.0
THBS4,ITGB6,,0.0,0.116,,0.546,1.0,,0.0,0.528
TNF,MUC5AC,,,,,,,,,
CCL5,CXCR6,,0.0,0.0,,1.0,0.07,,0.0,0.0
CCL18,CCR7,,0.764,0.618,,1.0,0.274,,0.0,0.0
IL2,C3,,,,,,,,,
CSF2,CD1C,,,,0.39,0.58,0.02,,,
IL1A,PLAU,,,,,,,,,
CXCL5,CCR6,,,,0.042,1.0,0.0,,,
CCN1,IL17A,,,,,,,,,
CCL21,CCR6,0.0,0.0,0.0,0.68,1.0,0.312,0.0,0.0,0.0
CXCL10,CCR6,0.324,0.846,0.2,0.042,0.998,0.0,0.046,0.392,0.0
CSF2,CPE,,,,0.0,1.0,0.0,,,
IL1B,LDLR,,,,,,,,,
SPP1,ITGA6,0.984,0.934,0.996,0.918,0.0,0.994,0.986,0.934,1.0
CXCL2,CCR4,,,,,,,,,
VWF,ITGB6,,0.0,0.0,,1.0,1.0,,0.0,0.0
EDN1,MMP1,,,0.108,,,0.294,,,0.288
VEGFA,VCAM1,0.986,1.0,0.998,0.002,0.0,0.0,0.984,1.0,0.996
S100B,TNF,,,,,,,,,
IL13,PTGS2,,,,,,,,,
CCL26,CCR7,,,,,,,,0.118,0.024
CD40LG,VCAM1,,,,,,,,,
TNF,F3,,,,,,,,,
IL17A,PTGS2,,,,,,,,,
CXCL1,CCR6,,,,0.04,0.99,0.0,,,
CXCL14,CXCR6,,0.0,0.0,,1.0,1.0,,0.0,0.0
IFNG,VCAM1,,,,,,,,,
TNF,PIGR,,,,,,,,,
CCL5,CXCL12,0.0,0.008,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IL10,DCN,,,,,,,0.0,1.0,0.0
CXCL8,CXCR6,,0.528,0.19,,0.136,0.0,,1.0,0.83
EDN1,MCAM,0.402,0.138,0.088,0.58,0.82,0.234,0.538,0.396,0.206
IL1B,VEGFA,,,,,,,,,
CSF3,PLAUR,0.162,0.07,0.0,,,,0.156,0.004,0.0
ADIPOQ,WIF1,,,,,,,,,
IL1B,MMP1,,,,,,,,,
CSF2,MMP1,,,,,,0.17,,,
CCL15,CCR7,,,,,,,,,
CCL23,CCR4,,,,,,,,,
VEGFD,PDGFRB,0.0,0.016,0.0,,,,0.0,1.0,0.0
CSF2,FCER2,,,,,,,,,
IL12B,TNF,,,,,,,,,
IGFBP3,MMP14,0.94,0.948,0.324,0.72,0.882,0.0,0.81,0.75,0.02
THBS2,ITGB6,,0.0,0.036,,1.0,1.0,,0.0,0.0
CCL23,CCR7,,,,,,,,0.19,0.036
SPP1,PLAU,0.998,0.868,1.0,0.998,0.0,1.0,1.0,0.87,1.0
VEGFA,FLT4,1.0,1.0,1.0,0.156,0.0,0.424,1.0,1.0,1.0
LAMA4,ITGB6,,0.016,0.93,,0.076,1.0,,0.0,0.744
CCL11,CXCR6,,0.0,0.0,,,,,0.088,0.0
CCL19,CCR6,0.0,0.0,0.0,0.594,1.0,0.204,0.0,0.0,0.0
IL1A,CXCL12,,,,,,,,,
TNF,MMP13,,,,,,,,,
PPBP,CCR7,,,,,0.458,0.066,,,
CXCL12,GZMB,0.0,0.0,0.0,1.0,1.0,0.118,0.0,0.0,0.0
IGF1,PDGFRA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IFNG,CSF1,,,,,,,,,
VEGFD,PDGFRA,0.0,0.0,0.0,,,,0.0,1.0,0.0
SST,F3,,,,,,,,,
IL12B,GZMB,,,,,,,,,
TNF,CHI3L1,,,,,,,,,
CCL5,CCR7,,0.0,0.0,,1.0,0.604,,0.0,0.0
IFNG,IDO1,,,,,,,,,
IL2,GZMB,,,,,,,,,
IGF1,VEGFA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
CCL11,CCR4,,,,,,,,,
CXCL13,CCR7,,0.258,0.098,,0.872,0.076,,0.38,0.1
FGF7,PLAU,0.638,0.0,0.486,1.0,0.874,1.0,0.328,0.0,0.056
CCL5,TNFRSF4,0.0,0.0,0.0,0.5,1.0,0.162,0.0,0.0,0.0
IL6,KDR,,0.0,0.012,,1.0,1.0,,0.0,0.0
IFNG,CXCL12,,,,,,,,,
DCN,VEGFA,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
IL1B,CXCL10,,,,,,,,,
XCL1,CCR6,0.012,0.082,0.0,,,,,,
THBS4,ITGA6,0.002,0.0,0.0,0.974,1.0,1.0,0.014,0.0,0.0
TNF,CDH11,,,,,,,,,
IL6,CCR7,,0.0,0.0,,1.0,0.294,,0.0,0.0
CXCL3,CCR7,,,,,0.7,0.066,,,
IFNG,CXCL10,,,,,,,,,
S100A8,MMP1,,,0.332,,,0.334,,,0.008
FGF7,SFTPA2,0.076,0.0,,0.988,0.998,,0.002,0.0,
ADIPOQ,CXCL12,,,,,,,0.0,1.0,0.0
SAA1,F3,0.032,0.024,0.002,0.214,1.0,0.0,0.0,0.0,0.0
IL6,CXCL12,0.0,0.028,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCL21,CXCR6,,0.0,0.0,,1.0,0.994,,0.0,0.0
CCL14,CXCR6,,0.0,0.0,,1.0,0.218,,0.0,0.0
CCL11,CCR7,,0.0,0.0,,,,,0.068,0.03
CXCL12,CCR7,,0.0,0.0,,1.0,1.0,,0.0,0.0
CCL17,CCR7,,0.124,0.092,,1.0,0.408,,0.0,0.0
CCL3L1,CXCR6,,,,,,,,0.038,0.0
CXCL6,CCR6,,,,,,,,,
IL1A,C3,,,,,,,,,
IL6,CSF1,0.0,0.0,0.0,0.0,1.0,0.006,0.0,0.0,0.0
IL6,GZMB,0.002,0.0,0.0,0.734,1.0,0.0,0.0,0.0,0.0
IL1A,MMP9,,,,,,,,,
SAA1,PTGS2,0.0,0.022,0.07,0.0,1.0,0.836,0.0,0.0,0.0
FGFR4,PLAU,,,,,,,,,
TNF,PLAU,,,,,,,,,
CSF2,CSF1,,,,0.0,1.0,0.0,,,
CXCL5,CCR4,,,,,,,,,
VWF,ITGA6,0.0,0.0,0.0,0.996,1.0,1.0,0.0,0.0,0.0
CXCL8,CCR4,,,,,,,,,
IL2,PRF1,,,,,,,,,
RELN,ITGA6,0.8,0.048,0.946,,,,0.754,0.0,0.9
FGF7,VEGFA,0.854,0.0,0.598,1.0,0.696,1.0,0.536,0.0,0.112
CCL2,PTGS2,0.0,0.0,0.0,0.026,1.0,0.994,0.0,0.0,0.0
NR0B2,TNF,,,,,,,,,
CXCL13,CCR4,,,,,,,,,
IL13,VEGFA,,,,,,,,,
S100A9,MMP1,,,0.454,,,0.62,,,0.0
IL2,CES1,,,,,,,,,
CXCL3,CCR6,,,,0.042,1.0,0.0,,,
CXCL11,CCR4,,,,,,,,,
TNF,MMP9,,,,,,,,,
CXCL9,CXCR6,,,,,0.638,0.002,,0.256,0.034
CXCL10,CCR4,,,,,,,,,
IL10,F3,,,,,,,0.054,0.0,0.0
OSM,PLAT,0.032,0.268,0.0,,,,0.01,0.016,0.0
CCL23,KDR,,,,,,,,0.088,0.962
IFNG,HSP90AA1,,,,,,,,,
CCL19,CCR4,,,,,,,,,
XCL2,CCR6,,,,,,,,,
IL2,TNFRSF4,,,,,,,,,
CXCL5,CCR7,,,,,0.446,0.064,,,
SAA1,HMOX1,0.016,0.07,0.0,0.114,1.0,0.0,0.0,0.0,0.0
IFNG,IL17A,,,,,,,,,
CCL20,CCR7,,,,,0.078,0.046,,0.986,0.728
CXCL5,CXCR6,,,,,0.828,0.002,,,
CCL15,CCR4,,,,,,,,,
CCL15,CXCR6,,,,,,,,,
CCL19,CXCR6,,0.0,0.0,,1.0,0.944,,0.0,0.0
IL6,DCN,0.0,0.996,0.0,0.0,1.0,0.0,0.0,0.026,0.0
CXCL13,CXCR6,,0.266,0.028,,0.978,0.004,,0.416,0.004
IL2,TNFRSF18,,,,,,,,,
CCL18,CCR4,,,,,,,,,
ADIPOQ,F3,,,,,,,0.082,0.002,0.0
CCL11,CCR6,0.0,0.0,0.0,,,,0.024,0.192,0.0
IFNG,MMP13,,,,,,,,,
CCL23,CXCR6,,,,,,,,0.24,0.004
CSF2,HDC,,,,0.012,,0.006,,,
TNF,VCAM1,,,,,,,,,
OSM,LDLR,0.638,0.106,0.372,,,,0.502,0.0,0.18
CSF3,MPL,,,,,,,,,
IL11,LIFR,,,,,,,,,
IL6,LIFR,0.0,0.0,0.002,0.062,1.0,0.53,0.0,0.0,0.0
OSM,IL13RA2,,,0.046,,,,,,0.0
LEP,MPL,,,,,,,,,
IL11,IL13RA2,,,,,,,,,
IL6,IL13RA2,,,0.0,,,0.47,,,0.0
IL13,LIFR,,,,,,,,,
GAS1,PTCH1,,0.0,,,1.0,,,0.0,
LEP,KDR,,,,,,,,,
GDF15,TTN,,,,,,,,,
S100A8,MDM2,0.954,0.226,1.0,0.974,0.004,1.0,0.876,0.002,0.99
VEGFA,MDM2,1.0,1.0,1.0,0.954,0.0,0.998,1.0,1.0,1.0
SHH,MDM2,,,,,,,,,
CSF3,ACE,0.564,0.016,0.038,,,,0.532,0.0,0.034
NTS,GRIA1,,,,,,,,,
IFNG,GRIA1,,,,,,,,,
TNF,GRIA1,,,,,,,,,
VCAM1,CDH5,0.15,0.012,0.004,0.78,0.998,0.362,0.138,0.0,0.0
TNF,CDH5,,,,,,,,,
IL1B,CDH5,,,,,,,,,
ANGPT2,CDH5,0.836,0.776,0.584,0.75,0.87,0.298,0.346,0.016,0.03
CXCL8,CDH5,0.672,0.518,0.368,0.696,0.082,0.2,0.968,1.0,0.898
ADM,NOS1,,,,,,,,,
IGF1,NOS1,,,,,,,,,
