method_name	method_family	method_role	uses_public_pretraining	training_overlap_audit_status	training_overlap_audited_row_level	row_level_audit_files_detected	public_tool_training_overlap_any	candidate_overlap_rows	candidate_overlap_fraction	clean_comparator_allowed_after_audit	reviewer_disposition	caveat	overlap_detail	training_data_summary	training_overlap_risk	provenance_confidence	audit_source_file	source_urls
kNN	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; retrieval over local ESM2 peptide embeddings, per-HLA train buckets with global fallback.	high: retrieval/memorization behavior; in-master inflated	local_verified	/home/seungho/personal/THCA_data_analysis/project/results/p_neo_bayesian_2026_05_09/method_training_audit_2026_05_09/method_training_audit.tsv	local: wave4b/m5_knn.py
mean_pLDDT_peptide	structure_proxy	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	structure proxy	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
min_pLDDT_peptide	structure_proxy	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	structure proxy	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
nested_learned_gate_C_QK_structure	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
nested_lr_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
nested_lr_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
nested_rf_qk_no_anchor_train_selected	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
nested_rf_qk_quantum_only_train_selected	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
pairwise_positive_over_unlabeled	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
peptide_helicity_proxy	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
positive_only_centroid	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_C_0.5_QK_quantum_0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_equal_weight_C_QK_no_anchor	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_lr_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_lr_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_rf_qk_no_anchor_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
prespecified_rf_qk_quantum_only_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
pu_logistic_weighted	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
pu_weighted_rf	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
pu_weighted_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
qk_clean_no_tcr_gamma1	tcr_aware	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	reference sensitivity requires audit	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
qk_no_anchor	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
qk_no_anchor_gamma1	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
qk_quantum_only	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
qk_quantum_only_gamma1	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
radius_of_gyration_peptide	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
rf_secondary	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
rule_gate_rf_qk_fallback_train_selected	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
rule_gated_C_QK_structure	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_balanced_plus_pu_rf	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_balanced_plus_pu_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_balanced_rf	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_balanced_rf_train_prior_calibrated	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_prespecified_rf_qk_compact_w0.5	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
source_qk_compact_gamma1	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
sourceheld_counterfactual_rf	internal_baseline	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
sourceheld_prespecified_late_fusion_w0.5	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
sourceheld_qk_compact_gamma1	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
stacked_calibrated_meta_model_lowdim_only	ensemble_or_fusion	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal fusion/ensemble	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_C_counterfactual_RF	internal_baseline	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal model	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_QK_no_anchor_fallback	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_QK_quantum_only_fallback	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_Structure_baseline_RF	structure_proxy	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	structure proxy	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_fixed_late_fusion_C_QK_no_anchor	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
v0_fixed_late_fusion_C_QK_quantum	qk_fallback	bounded_fallback	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	bounded fallback/fusion component only	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
xgboost_depth2	classical_biophysical	internal_candidate	False	internal_or_local_known_split	True	NA	False	NA	NA	True	eligible_internal_comparator_if_split_contract_passes	internal or locally curated method	Not a public pretrained tool under current token rules.	NA	NA	NA	NA	NA
