figure_id	file_name	version_source	biological_axis	cohort	paper_role	recommended_tier	claim_strength	risk_level	include_reason	exclude_or_archive_reason	manuscript_usage_sentence_draft	needs_recalculation	notes
S_F90	S_F90_EMT_program_maps.png	v12	EMT_v12	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	EMT program spatial maps (v12 update)		[AUTHOR VOICE NEEDED: EMT maps v12]	NO	
S_F91	S_F91_Thyroid_differen_maps.png	v12	Thyroid_diff_collapse	GSE250521	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	EXPLORATORY	HIGH	v12 finding: differentiation spatial coherence collapse PT→ATC (n=4 ATC risk)		[AUTHOR VOICE NEEDED: thyroid differentiation spatial coherence — exploratory; n=4 ATC]	NO	exploratory; do not center main claim on n=4 ATC
S_F92	S_F92_Stemness_lineage_maps.png	v12	Stemness_lineage	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	HIGH	Stemness/lineage plasticity (case-like)		[AUTHOR VOICE NEEDED: stemness maps]	NO	HIGH claim risk
S_F93	S_F93_Senescence_SASP_maps.png	v12	Senescence_SASP	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Senescence/SASP maps		[AUTHOR VOICE NEEDED: senescence SASP maps]	NO	
S_F94	S_F94_Apoptosis_DDR_maps.png	v12	Apoptosis_DDR	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Apoptosis + DDR maps		[AUTHOR VOICE NEEDED: apoptosis DDR maps]	NO	
S_F95	S_F95_Angiogenesis_maps.png	v12	Angiogenesis	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Angiogenesis maps		[AUTHOR VOICE NEEDED: angiogenesis maps]	NO	
S_F96	S_F96_Cellular_stress_maps.png	v12	Cellular_stress	GSE250521	Paper2_Pillar2_support	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	Cellular stress quartet (ferroptosis/autophagy/UPR/lipid)		[AUTHOR VOICE NEEDED: cellular stress quartet]	NO	
S_F97	S_F97_stage_gradient_24axes.png	v12	Stage_gradient_24axes	GSE250521	Paper2_overview	SUPPLEMENTARY_FIGURE	EXPLORATORY	MEDIUM	v12 finding: 24-axis stage gradient lineplot		[AUTHOR VOICE NEEDED: 24-axis stage Moran gradient — exploratory]	NO	signature-level; flag as exploratory in caption
S_F98	S_F98_ATC2_deep_dive.png	v12	ATC2_outlier_deep_dive	GSE250521	Paper2_Pillar2_support	SUPPLEMENTARY_FIGURE	CASE_LIKE_OUTLIER	HIGH	ATC-2 single-sample 8-axis deep dive (n=1 outlier)		[AUTHOR VOICE NEEDED: ATC-2 case-like outlier — strictly exploratory]	NO	n=1; HIGH claim risk; never center main claim
S_F99	S_F99_cross_axis_jaccard.png	v12	Cross_axis_jaccard	ALL_28_3cohort	Paper2_overview	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	LOW	Cross-axis spatial co-occurrence Jaccard heatmap		[AUTHOR VOICE NEEDED: cross-axis spatial co-occurrence Jaccard]	NO	
S_F100	S_F100_findings_centennial.png	v12	Centennial_summary	ALL_28_3cohort	Paper2_overview	WEB_ONLY_ARCHIVE	MODERATE_SUPPORT	LOW	Centennial findings infographic (web only)		[AUTHOR VOICE NEEDED: centennial infographic]	NO	
S_F101	S_F101_GSE301163_ROI_heatmap.png	v13_geomx	GeoMx_ROI_heatmap	GSE301163_GeoMx	Paper2_external_validation	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	MEDIUM	78 ROIs × 14 axes z-scored heatmap (cross-platform external validation)		[AUTHOR VOICE NEEDED: GSE301163 GeoMx 78 ROI × 14 axes z-score heatmap (cross-platform external)]	NO	ROI-level pooled, NOT spot-level Visium; n=2 patients caveat
S_F102	S_F102_GSE301163_TROP2_compartment.png	v13_geomx	GeoMx_TROP2_compartment	GSE301163_GeoMx	Paper2_external_validation	WEB_ONLY_ARCHIVE	EXPLORATORY	MEDIUM	TROP2 PanCK+ vs VIM+ compartment by histology (honest negative)	ROI-mean ns; web archive (does NOT refute spot-level Visium niche)	[AUTHOR VOICE NEEDED: GSE301163 TROP2 compartment box (ROI-level ns, separate measurement layer)]	NO	ROI-mean cannot detect spatial niche; expected ns; flag honestly
S_F103	S_F103_GSE301163_DM1_by_histology.png	v13_geomx	GeoMx_DM1_histology	GSE301163_GeoMx	Paper2_external_validation	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	MEDIUM	DM1 axis by histology — PDTC vs microPTC PanCK+ p=0.001 cross-platform consistency		[AUTHOR VOICE NEEDED: GSE301163 DM1 axis collapse PDTC vs microPTC (cross-platform consistent with Visium v12)]	NO	STRONG cross-platform validation of v12 differentiation collapse finding
S_F104	S_F104_GSE301163_8gene_DM1.png	v13_geomx	GeoMx_8gene_DM1	GSE301163_GeoMx	Paper2_external_validation	SUPPLEMENTARY_FIGURE	MODERATE_SUPPORT	MEDIUM	Paper 1 8-gene mini-index by histology + genotype (cross-platform reactivity)		[AUTHOR VOICE NEEDED: GSE301163 8-gene mini-index by histology and genotype]	NO	microPTC vs Normal PanCK+ p=0.017; cross-paper sanity, do NOT mix Paper 1/2 framing
S_F105	S_F105_GSE301163_differentiation.png	v13_geomx	GeoMx_differentiation_3axis	GSE301163_GeoMx	Paper2_external_validation	SUPPLEMENTARY_FIGURE	STRONG_SUPPORT	MEDIUM	3-axis (Thyroid_TF / RAI_8 / DM1_axis) by histology — TF preserved, function collapsed (Landa 2016 consistent)		[AUTHOR VOICE NEEDED: GSE301163 3-axis differentiation collapse PDTC vs microPTC PanCK+]	NO	STRONG; Landa 2016 (Disc 3.1 cite) literature consistent
S_F106	S_F106_cross_platform_summary.png	v13_geomx	Crossplatform_consistency	Visium_28+GeoMx_78_crossplatform	Paper2_overview	MAIN_FIGURE	STRONG_SUPPORT	MEDIUM	★ Cross-platform summary: Visium 28 spot-level Moran ↔ GeoMx 78 ROI mean		[AUTHOR VOICE NEEDED: 4-panel cross-platform consistency — Visium Moran's I trajectory vs GeoMx ROI-mean trajectory]	NO	MAIN candidate (M9?); v13 reach venue gate; n=2 GeoMx patients caveat
