evidence_id	dataset	cohort_definition	n_total	n_event	n_control	molecular_measure	endpoint	endpoint_timing	comparison	effect_measure	effect_estimate	ci_low	ci_high	p_value	q_value	model	covariates	unit_of_analysis	independence_issue	missingness	power_or_mde	source_raw_file	source_script	source_output	reproduced	claim_supported	claim_not_supported	risk_level	notes
STR-D-01	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with panel score and the given structural-outcome field recorded	145	9	136	8-gene panel z-score	new tumour event after initial treatment	post-treatment (event field-specific; see notes)	event vs no event, panel z	Cohen's d	-0.8375526374779908	-1.374704850198604	-0.2474217677706927	0.004880495554155938	0.014641486662467812	Tier 1 (audit03): distribution-free Cohen's d, patient-level bootstrap CI (5,000/2,000 draws); identical estimate to the first-pass main-table statistic	none (unadjusted)	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py (original); rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py (Tier 1 re-derivation, identical values)	rai-response-genomics-atlas/results/tables/tcga_rai_structural_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv (Tier 1 rows); rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md	exact	Lower panel score associated with the event (significant, BH q<0.02).	Not RAI-specific: treatment-by-score interaction is not estimable (see INT-01); could be purely prognostic.	moderate	Cleanest post-treatment endpoint of the three (audit00 Q3).
STR-D-02	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with panel score and the given structural-outcome field recorded	72	13	59	8-gene panel z-score	persistent disease within 3 months of surgery	post-treatment (event field-specific; see notes)	event vs no event, panel z	Cohen's d	-0.7818505105851636	-1.2942920938802471	-0.3110770629522166	0.011801509911764348	0.017702264867646523	Tier 1 (audit03): distribution-free Cohen's d, patient-level bootstrap CI (5,000/2,000 draws); identical estimate to the first-pass main-table statistic	none (unadjusted)	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py (original); rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py (Tier 1 re-derivation, identical values)	rai-response-genomics-atlas/results/tables/tcga_rai_structural_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv (Tier 1 rows); rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md	exact	Lower panel score associated with the event (significant, BH q<0.02).	Not RAI-specific: treatment-by-score interaction is not estimable (see INT-01); could be purely prognostic.	moderate	'Persistent disease within 3 months of surgery' overlaps the usual 4-12 week interval to RAI and is not a pure post-RAI endpoint (per audit00 Q3 caveat).
STR-D-03	TCGA-THCA	RAI-treated (mCi) TCGA-THCA patients with panel score and the given structural-outcome field recorded	216	34	182	8-gene panel z-score	structural disease at last follow-up	post-treatment (event field-specific; see notes)	event vs no event, panel z	Cohen's d	0.06349834607329308	-0.32571554067773184	0.4750816398293761	0.880003130579855	0.8800031305798551	Tier 1 (audit03): distribution-free Cohen's d, patient-level bootstrap CI (5,000/2,000 draws); identical estimate to the first-pass main-table statistic	none (unadjusted)	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py (original); rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py (Tier 1 re-derivation, identical values)	rai-response-genomics-atlas/results/tables/tcga_rai_structural_main_2026_08_06.tsv; rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv (Tier 1 rows); rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md	exact	No association with structural disease at last follow-up (null).		low	'Structural disease at last follow-up' mixes pre- and post-treatment disease status; audit00 Q3 flags this as an ambiguous endpoint.
STR-RB-01	TCGA-THCA	145 RAI-treated patients, new tumour event endpoint	145	9	136	8-gene panel z-score	new tumour event after initial treatment	post-treatment	event vs no event, panel z	rank-biserial correlation	-0.5620915032679739			0.004880495554155938		Tier 1 (audit03): rank-biserial correlation	none	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv	exact	Companion non-parametric effect size to STR-D-01, same direction/significance.		moderate	No CI reported for rank-biserial in source table.
STR-RB-02	TCGA-THCA	72 RAI-treated patients, persistent-disease endpoint	72	13	59	8-gene panel z-score	persistent disease within 3 months of surgery	within 3 months of surgery	event vs no event, panel z	rank-biserial correlation	-0.44980443285528027			0.011801509911764348		Tier 1 (audit03): rank-biserial correlation	none	patient	none			/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv	exact	Companion non-parametric effect size to STR-D-02, same direction/significance.		moderate	No CI reported for rank-biserial in source table.
STR-FIRTH-01	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	Tier 2 - Firth, score only: panel z	odds ratio (Firth-penalised)	0.2212	0.0624	0.7838	0.019419857539473506		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	none	patient	none		events per variable (EPV) = 9.0	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-02	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	Tier 3 - Firth + stage: panel z (+stage)	odds ratio (Firth-penalised)	0.2392	0.069	0.8294	0.024148551855758704		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	stage	patient	none		events per variable (EPV) = 4.5	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-03	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	Tier 3 - Firth + purity: panel z (+purity)	odds ratio (Firth-penalised)	0.202	0.0544	0.7497	0.01682252120858929		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	purity	patient	none		events per variable (EPV) = 4.5	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-04	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	Tier 3 - Firth + stage + purity (exploratory): panel z (+stage+purity)	odds ratio (Firth-penalised)	0.2194	0.0604	0.7978	0.021281915744415514		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	stage, purity	patient	none		events per variable (EPV) = 3.0	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	high	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-05	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	post-treatment	Tier 2 - Firth, score only: panel z	odds ratio (Firth-penalised)	0.2245	0.061	0.8256	0.024547453193110913		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	none	patient	none		events per variable (EPV) = 13.0	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-06	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	post-treatment	Tier 3 - Firth + stage: panel z (+stage)	odds ratio (Firth-penalised)	0.238	0.0651	0.871	0.030112608003900698		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	stage	patient	none		events per variable (EPV) = 6.5	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-07	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	post-treatment	Tier 3 - Firth + purity: panel z (+purity)	odds ratio (Firth-penalised)	0.2231	0.06	0.8292	0.02511745916855146		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	purity	patient	none		events per variable (EPV) = 6.5	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	moderate	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-FIRTH-08	TCGA-THCA	RAI-treated TCGA-THCA patients with panel score and the given structural-outcome field	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	post-treatment	Tier 3 - Firth + stage + purity (exploratory): panel z (+stage+purity)	odds ratio (Firth-penalised)	0.2366	0.0641	0.8736	0.030561430265124034		Firth (Jeffreys-prior penalised) logistic regression, hand-implemented IRLS (statsmodels has no native Firth routine; checked against unpenalised fit on a well-powered outcome)	stage, purity	patient	none		events per variable (EPV) = 4.33	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_main_2026_08_06.tsv; audit/rai_integration_20260806/04_STATISTICAL_REANALYSIS.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md	exact	Association survives Firth correction for rare events; direction and significance preserved at OR~0.20-0.24 (vs uncorrected ML ~0.19-0.20).	Not RAI-specific (see INT-01); 3-covariate model explicitly labelled exploratory, not primary.	high	CURRENT preferred estimate, supersedes the single-model ML logistic reported in tcga_rai_structural_adjusted_2026_08_06.tsv (see STR-ML-01/02). EPV<5 rows (exploratory 3-covariate models, EPV 3.0-4.33) are higher risk.
STR-STAB-01	TCGA-THCA	145 RAI-treated patients, new tumour event endpoint	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	leave-one-event-out (LOO) refit range; patient bootstrap (2,000 draws) of Firth OR	odds ratio range / bootstrap median OR	LOO range 0.121-0.282; bootstrap median 0.208	0.033	0.774			Firth logistic, LOO and 2,000x patient-level bootstrap		patient			loo_all_below_1=True; boot_frac_or_below_1=0.988 (n_boot_used=1997)	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_stability_2026_08_06.tsv	exact	Direction (OR<1) survives dropping any single event and 98.8% of bootstrap refits.		moderate	Stability is not power: 9 events remain 9 events; these are diagnostics, not independent significance tests.
STR-STAB-02	TCGA-THCA	72 RAI-treated patients, persistent-disease endpoint	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	within 3 months of surgery	leave-one-event-out (LOO) refit range; patient bootstrap (2,000 draws) of Firth OR	odds ratio range / bootstrap median OR	LOO range 0.156-0.274; bootstrap median 0.218	0.032	0.631			Firth logistic, LOO and 2,000x patient-level bootstrap		patient			loo_all_below_1=True; boot_frac_or_below_1=0.999 (n_boot_used=2000)	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/audit/03_rare_event_structural_outcomes.py	rai-response-genomics-atlas/results/tables/audit03_rare_event_stability_2026_08_06.tsv	exact	Direction (OR<1) survives dropping any single event and 99.9% of bootstrap refits.		moderate	Stability is not power; diagnostics only.
STR-ML-01	TCGA-THCA	145 RAI-treated patients, new tumour event endpoint	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	ordinary ML logistic, panel z (RAI_8) alone	odds ratio	0.2025644488520063	0.05395086556794846	0.7605504658129876	0.018007601619048894		ordinary maximum-likelihood logistic regression (first-pass method)	none (single-term model as saved)	patient			EPV = 9 events / 1 term = 9	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_adjusted_2026_08_06.tsv	superseded		Superseded by Firth Tier 2 (STR-FIRTH-01, OR=0.221); small-sample ML bias flagged in audit03/04 as biasing ORs away from the null.	moderate	Point estimate (0.2026) close to the Firth score-only estimate (0.2212) in this instance — audit00 Q4 states the point estimates 'were mildly overstated', not grossly wrong; direction and approximate magnitude both hold.
STR-ML-02	TCGA-THCA	72 RAI-treated patients, persistent-disease endpoint	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	within 3 months of surgery	ordinary ML logistic, panel z (RAI_8) + stage_high	odds ratio	0.20189904420865978	0.05071200586032073	0.8038180182548306	0.023221891954747248		ordinary maximum-likelihood logistic regression (first-pass method)	stage_high	patient			EPV = 13 events / 2 terms = 6.5	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_adjusted_2026_08_06.tsv	superseded		Superseded by Firth Tier 3+stage (STR-FIRTH-06, OR=0.238).	moderate	IMPORTANT DISCREPANCY: the report brief tcga_rai_structural_disease_brief_2026_08_06.md quotes a 'panel z' OR of 0.196 for persistent disease as a univariable model, but no univariable (panel-z-only, no stage) row exists in tcga_rai_structural_adjusted_2026_08_06.tsv for this endpoint -- the only saved ML row already includes stage_high jointly (OR=0.202). See STR-ML-PURITY-01/02 for the two brief-only numbers with no backing table row.
STR-ML-03	TCGA-THCA	216 RAI-treated patients, structural-disease-at-last-follow-up endpoint	216	34		8-gene panel z-score	structural disease at last follow-up	last follow-up (mixes pre/post-RAI status)	ordinary ML logistic, panel z (RAI_8), full 6-covariate model	odds ratio	1.0534062589285247	0.48540755110163303	2.2860475570093715	0.895288605751909		ordinary maximum-likelihood logistic regression, 6 covariates jointly	stage_high, braf, AGE, purity, rai_dose_mci	patient			EPV = 34 events / 6 terms = 5.67	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_adjusted_2026_08_06.tsv	exact	Null after adjustment, consistent with the unadjusted Tier 1 null (STR-D-03).		low	EPV~5.7 is borderline adequate; NOT re-run with Firth in the 2026-08-06 audit (audit03 targeted only the two rare-event endpoints with EPV<5). rai_dose_mci reaches nominal significance in this same model (see STR-ML-DOSE-01) -- worth separate scrutiny.
STR-ML-DOSE-01	TCGA-THCA	216 RAI-treated patients, structural-disease-at-last-follow-up endpoint	216	34		cumulative RAI activity (mCi, continuous)	structural disease at last follow-up	last follow-up	ordinary ML logistic, rai_dose_mci term, full 6-covariate model	odds ratio	1.008773911138345	1.0028022842373607	1.0147810987160497	0.003929874607544675		ordinary maximum-likelihood logistic regression, 6 covariates jointly	RAI_8 (panel z), stage_high, braf, AGE, purity	patient			EPV = 34/6 = 5.67	/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/tables/tcga_rai_structural_adjusted_2026_08_06.tsv	exact		Higher cumulative dose associated with structural disease at last follow-up -- almost certainly confounded by indication (sicker/higher-stage patients receive more RAI), not a treatment-effect finding. Not discussed in any report brief; flagged here for completeness.	high	Only nominally significant covariate in the 'structural disease at last follow-up' model. High confounding-by-indication risk; do not present as a dose-response effect of RAI without a design (e.g. instrumental variable) that addresses confounding by indication.
STR-ML-PURITY-01	TCGA-THCA	145 RAI-treated patients, new tumour event endpoint	145	9		8-gene panel z-score	new tumour event after initial treatment	post-treatment	ordinary ML logistic, panel z + purity (as quoted in report brief)	odds ratio	0.177	0.044	0.717	0.015		ordinary ML logistic regression (brief text only)	purity	patient				/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md (prose table only)	source unavailable		Cannot be independently verified: no corresponding row exists in tcga_rai_structural_adjusted_2026_08_06.tsv, which contains only a single-covariate-set model per endpoint (panel-z-alone for new tumour event). This '+purity' sensitivity model and its '+purity+stage' counterpart (0.187, see STR-ML-PURITY-02) appear ONLY in the report brief's prose table, not in any saved output.	high	EVIDENCE-LOCK FLAG: per-value verification failed. Do not cite these two numbers in the manuscript until the underlying model is re-run and saved to a table. The Firth Tier-3+purity result (STR-FIRTH-03, OR=0.202) is the closest audited/traceable analogue and should be used instead if a purity-adjusted estimate is needed.
STR-ML-PURITY-02	TCGA-THCA	72 RAI-treated patients, persistent-disease endpoint	72	13		8-gene panel z-score	persistent disease within 3 months of surgery	within 3 months of surgery	ordinary ML logistic, panel z + purity + stage (as quoted in report brief)	odds ratio	0.191	0.046	0.79	0.022		ordinary ML logistic regression (brief text only)	purity, stage_high	patient				/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md (prose table only)	source unavailable		No corresponding row in tcga_rai_structural_adjusted_2026_08_06.tsv (only saved row for this endpoint is panel-z+stage_high, OR=0.202, see STR-ML-02).	high	EVIDENCE-LOCK FLAG: same issue as STR-ML-PURITY-01. Use STR-FIRTH-08 (Firth+stage+purity, exploratory, OR=0.237) as the audited analogue instead.
INT-01	TCGA-THCA	all TCGA-THCA patients with panel score and new-tumour-event field, split by mCi-course receipt				8-gene panel z-score	new tumour event after initial treatment	post-treatment	treatment (RAI mCi course received) x panel-z interaction	logistic regression coefficient (beta)	-2.23			0.077		logistic regression interaction term		patient	none	only 2 new-tumour events and 1 persistent-disease event among the 265 patients with no recorded mCi course -- interaction not reliably estimable		/data/rai_atlas/raw/TCGA_THCA_biotab/nationwidechildrens.org_clinical_radiation_thca.txt; /data/thca/repo_results/r17_tcga_panel_d4p2_reconciliation/r17_per_sample_merged.tsv	rai-response-genomics-atlas/scripts/tcga_rai_structural_disease_2026_08_06.py	rai-response-genomics-atlas/results/reports/tcga_rai_structural_disease_brief_2026_08_06.md; audit/rai_integration_20260806/00_EXECUTIVE_DECISION.md (Q2)	source unavailable		Treatment-by-score interaction is NOT estimable with only 2-3 events in the untreated arm; audit00 explicitly states this number 'should not be quoted as a trend'. The structural-outcome association (STR-FIRTH-*) is therefore prognostic-within-treated, not evidence of differential RAI benefit.	critical	No table row exists for this statistic; it is quoted only in report/audit prose. Treat as a documented non-result, not as weak evidence of an interaction.
UP-01	GSE151179	52 specimens / 33 patients, all treated with RAI post-thyroidectomy; 'rai uptake at the metastatic site: Yes/No' field	32	16	16	8-gene panel z-score	RAI uptake at the metastatic site (Yes/No)	post-thyroidectomy, RAI-avidity imaging	PRIMARY patient-level (tumour samples)	Cohen's d	0.3732	-0.3377	0.9798	0.534		Mann-Whitney U / bootstrap CI (AUC=0.5664)	none (unadjusted)	patient	primary analysis correctly uses one mean panel z per patient (n=16/16); no repeated-measure violation in this row			/data/rai_atlas/raw/GSE151179/GSE151179_series_matrix.txt.gz; /data/rai_atlas/processed/GSE151179_label_joined.tsv	rai-response-genomics-atlas/scripts/gse151179_uptake_at_met_site_2026_08_06.py	rai-response-genomics-atlas/results/tables/gse151179_uptake_at_met_site_2026_08_06.tsv; rai-response-genomics-atlas/results/reports/gse151179_uptake_at_met_site_brief_2026_08_06.md	exact	Direction consistent with hypothesis (uptake+ scores higher) but null in every comparison.	Panel is not shown to be associated with RAI uptake in this cohort; negative control (d=0.65) exceeds the tumour signal (d=0.37), and the association disappears after purity adjustment (see UP-07).	moderate	one mean panel z per patient
