claim_id,file,section,line,original_text,claim_type,evidence_required,evidence_available,support_level,problem,recommended_action,replacement_text,priority
NCv2-038,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Clinical implications,142,"This subset — BRAF V600E-mutant thyroid cancer with DM1-like lineage state — corresponds mechanistically to the group in which pharmacologic MAPK-pathway inhibition has previously been shown to restore radioiodine uptake in a subset of clinical patients, and for which no pre-treatment classifier has been established. If the interaction result replicates in a prespecified prospective cohort, the axis becomes a candidate rule for identifying BRAF+ patients for whom repeated high-dose radioiodine is likely to be futile and for whom MAPK-inhibitor-based re-differentiation should be considered upfront.",predictive,"conditional future claim: 'if replicated, becomes a candidate rule for identifying ... radioiodine is likely to be futile'","conditional on PFI-interaction replication only, not on a radioiodine-treatment interaction test",unsupported,"Even conditionally, the logical bridge from 'PFI interaction replicates' to 'candidate rule for RAI futility' skips the missing step (a radioiodine-treatment interaction). Per GT4 this interaction is not estimable with current data, so the conditional claim needs an additional, currently unmet precondition.",Add the missing precondition explicitly: replication of the PFI interaction alone would not be sufficient; a radioiodine-treatment x score interaction must also be demonstrated.,"...If the PFI interaction replicates in a prespecified prospective cohort, and a direct radioiodine-treatment x score interaction is separately demonstrated, the axis could become a candidate rule for identifying BRAF+ patients for whom repeated high-dose radioiodine is likely to be futile.",P1 major
NCv2-039,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Clinical implications,144,"The strongest near-term translational application is a reflex-testing pathway anchored on the routine immunohistochemistry 3-plex (TG + PAX8 + NKX2-1). This triplet is already in routine diagnostic use across most thyroid pathology laboratories, uses reagents that are commercially validated for in-vitro diagnostic use, and reproduces the BRAF+ progression-free interval stratification with log-rank p = 1.7 x 10^-4 in the current analysis.",methodological,"IHC-3plex reflex-testing pathway claim, anchored on PFI stratification (not RAI response)",IHC-3plex in-silico proxy PFI analysis,supported,"None identified against RAI ground truth specifically (endpoint is PFI, correctly labeled); reagents being 'commercially validated for in-vitro diagnostic use' refers to the antibodies, not to the DM1 classifier itself — should stay unambiguous on this point.","No action needed beyond ensuring 'validated' modifies the antibody reagents, not the DM1/IHC-3plex classifier.",n/a,P2 moderate
NCv2-040,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Discussion / Generalizability,150,"The A2 predictive interaction result, however, has not yet been replicated in an external cohort with joint BRAF genotype and progression-free interval annotation.",predictive,"same 'predictive interaction' mislabel as NCv2-023/024, applied to external-replication status",genotype interaction only,unsupported,Propagates the 'predictive interaction' label (see NCv2-023/024) rather than 'genotype-interaction' or 'prognostic interaction'.,Relabel consistently with NCv2-023's recommended fix.,"The BRAF-genotype interaction result, however, has not yet been replicated in an external cohort with joint BRAF genotype and progression-free interval annotation.",P1 major
NCv2-041,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Limitations,154,The principal limitation is that we did not have a pretreatment cohort in which the DM1 state could be tested directly against measured radioiodine uptake and clinical response.,external-validation,claim that no cohort exists in which DM1 could be tested against measured RAI uptake/response,TCGA-THCA GDC BCR Biotab radiation file contains per-course RAI dose (mCi) and response for 235 RAI-treated patients with a panel score (167 with evaluable response) — this cohort already exists and is the study's own discovery cohort,contradicted,"FACTUALLY WRONG per today's audit: TCGA-THCA — the manuscript's own primary discovery cohort — DOES contain linked radioiodine dose and per-course response data (GDC BCR Biotab radiation file), for 235 RAI-treated patients with a panel score and 167 with an evaluable response. The correct limitation is not 'no such cohort exists' but that (a) this data was not analyzed/merged in the current draft, (b) once analyzed, initial RAI response shows no association with the panel (GT2), and (c) the RAI-treatment x score interaction needed for a predictive claim is not estimable (GT4).","Rewrite: remove the false 'we did not have a...cohort' claim. State instead that TCGA-THCA radiation/response data were analyzed for this audit, that initial RAI response showed no detectable association with the panel, and that a treatment x score interaction could not be estimated due to sparse events among non-RAI-treated patients.","TCGA-THCA contains linked radioiodine dose and per-course response data for a subset of RAI-treated patients (n = 235 with a panel score; n = 167 with an evaluable response). In this cohort, the panel showed no detectable association with initial recorded radioiodine response (Cohen's d = -0.03 to -0.00 across five index-course definitions, P = 0.73-0.91). The panel was associated with post-treatment structural events among RAI-treated patients (new tumour event: Firth OR 0.221, 95% CI 0.062-0.784, P = 0.019; persistent disease: OR 0.224, 95% CI 0.061-0.826, P = 0.025), but a direct treatment x score interaction test, needed to establish a predictive (treatment-selection) role, was not estimable because only two events occurred among non-RAI-treated patients (P = 0.077).",P0 fatal
NCv2-042,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Limitations,154,"We therefore show that DM1 represents diminished iodine-handling biology and resembles tumours sampled after development of radioiodine refractoriness, but we do not show that it prospectively identifies non-responders.",predictive,disclaimer that the study does not show prospective non-responder identification,GSE151179 anchor only,partially supported,"The disclaimer is good practice but is built on the false premise of NCv2-041 (that no RAI-outcome-linked cohort exists). Once the TCGA RAI-response/structural-event data are incorporated, this sentence should be updated to reflect that a direct RAI-response test WAS performed (and was null) and that a treatment interaction test was attempted (and was not estimable), rather than stating only that prospective identification 'was not shown.'",Update once NCv2-041 is corrected; distinguish 'not tested' from 'tested and null' and from 'tested and not estimable.',"We therefore show that DM1 represents diminished iodine-handling biology and resembles tumours sampled after development of radioiodine refractoriness; in a direct retrospective test, however, the panel was not associated with initial radioiodine response, and a radioiodine-treatment interaction could not be estimated, so we do not show that it identifies non-responders before treatment.",P1 major
NCv2-043,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Limitations,154,The clinical interaction in BRAF V600E-positive disease is likewise based on a single retrospective cohort and should be treated as hypothesis-generating.,predictive,hedge on the BRAF-genotype PFI interaction's generalizability,n/a,supported,Appropriately hedged; but again uses 'clinical interaction' loosely for what is a genotype (not treatment) interaction. Minor terminology issue relative to the P0 items above.,Optional: replace 'clinical interaction' with 'BRAF-genotype interaction' for precision.,The BRAF-genotype interaction on progression-free interval is likewise based on a single retrospective cohort and should be treated as hypothesis-generating.,P2 moderate
NCv2-044,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Limitations,154,Survival estimates are further limited by only 16 overall-survival events in TCGA and by enrichment for advanced disease in the MSK cohort.,survival,acknowledged OS event-count limitation,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-045,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Limitations,154,"The most direct next study is therefore a prespecified retrospective FFPE validation linked to administered radioiodine dose, post-therapy uptake and response, followed by independent prospective testing.",external-validation,"recommended next study, described as though linked RAI dose/response data must come from a new FFPE cohort",TCGA-THCA GDC BCR Biotab radiation file already provides linked RAI dose and response data (GT1),partially supported,"This 'next study' recommendation implicitly repeats the false premise of NCv2-041 (that dose/response-linked data do not yet exist) by proposing new FFPE data collection as the 'most direct next study,' when a dose/response-linked analysis is already possible within TCGA-THCA today. The FFPE/prospective study remains valuable for independent replication, but should not be framed as the only way to obtain dose-linked outcome data.","Reframe as: first analyze the already-available TCGA-THCA RAI dose/response data (done in this audit); the FFPE/prospective study becomes the step for independent replication, not first access to dose-linked data.","The most direct next step is to incorporate the radioiodine dose and per-course response data already available in TCGA-THCA (GDC BCR Biotab radiation file), followed by an independent prospective study with radioiodine dose, post-therapy uptake and response linked at the individual level.",P0 fatal
NCv2-046,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Methods / Cohorts,160,Progression-free interval was defined per Liu et al. 2018 pan-cancer clinical resource... Post-radioiodine refractory context was provided by GSE151179.,methodological,cohort/endpoint definitions,standard citations,supported,None.,No action needed.,n/a,P3 minor
NCv2-047,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Methods / Interaction Cox analysis,172,Cox proportional-hazards models for progression-free interval used the eight-gene panel score standardized to zero mean and unit variance within the analytic cohort. Interaction with BRAF V600E status was modelled as a multiplicative term (score x BRAF)...,methodological,model specification for the genotype interaction,n/a,supported,"Confirms the modelled interaction is score x BRAF (genotype), not score x radioiodine treatment — supports the terminology fix recommended at NCv2-023/024/026/037 (rename 'predictive' to 'genotype-interaction').",No action needed on this sentence; use it as the methods anchor for the terminology fixes elsewhere.,n/a,P3 minor
NCv2-048,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Methods / Head-to-head,176,"Six alternative scores were computed in the TCGA cohort for head-to-head comparison against the Full-8 panel: ... (iii) RAI-machinery 5 (TSHR, SLC5A5, TPO, TG, DIO1)...",methodological,alternative score definitions,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-049,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Methods / Multi-omics,188,"Per-gene DM1 versus DM2 effect sizes were computed in five modalities: TCGA HM450 promoter beta, TCGA RNA-seq expression, Landa 2016 poorly differentiated / anaplastic expression, Mun 2025 proteogenomic proteome and GSE151179 post-radioiodine expression.",methodological,cross-modality effect-size computation,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-050,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Methods / Survival analysis,204,Overall-survival analyses used Cox proportional-hazards models and Kaplan-Meier curves. TCGA-THCA and MSK-IMPACT hazard ratios were pooled using DerSimonian-Laird random-effects meta-analysis.,methodological,OS analysis specification,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-051,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Figure 1 legend,238,(g) TCGA overall-survival Kaplan-Meier curve by DM state.,survival,figure panel description,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-052,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Figure 5 legend,252,DM1 is associated with survival and assay portability. (a) TCGA plus MSK random-effects overall-survival meta-analysis...,survival,figure title/panel description,n/a,supported,None.,No action needed.,n/a,P3 minor
NCv2-053,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Figure 6 legend,256,Translational pathway for radioiodine harm avoidance. (a) RNA-state-guided reflex fusion-testing algorithm. (b) ATA risk-tier overlay. (c) Hypomethylating-agent plus RAI re-induction rationale. (d) DM1-like state in post-RAI refractory disease. (e) Decision-curve analysis. (f) Prospective DM1-stratified trial schema. (g) RET-fusion concentration across the DM1 score distribution.,treatment-effect,figure title frames the pathway around 'radioiodine harm avoidance' via GSE151179 anchor + trial schema,GSE151179 anchor; trial schema is a proposed future design,partially supported,"Title and panel (d) are consistent with the hedged GSE151179 'biological anchor' framing (fine). Panel (f) 'Prospective DM1-stratified trial schema' is a proposed future design and should be clearly labeled as such in the actual panel, not implied as already executed.","No change to this legend line itself; verify in the rendered Fig. 6f that the trial schema panel is explicitly labeled 'proposed' / 'schema, not yet conducted.'",n/a,P2 moderate
NCv2-054,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Figure 7 legend,260,### Figure 7. DM1 predictive interaction with BRAF V600E status and external axis replication (new).,predictive,figure title uses 'predictive interaction' for the genotype interaction,genotype interaction only,unsupported,Same 'predictive' mislabeling as NCv2-023 propagated into the new Figure 7 title.,Rename to match the corrected Results section title.,Figure 7. DM1 genotype-dependent prognostic association with BRAF V600E status and external axis replication (new).,P1 major
NCv2-055,NATURE_COMMUNICATIONS_FULL_DRAFT_v2_2026_07_08.md,Figure 7 legend,262,"(b) DM1 x BRAF interaction Cox model results: panel A shows interaction term significance (DM1 x BRAF p = 0.022 vs DM1 x RAS p = 0.41); panel B shows subgroup-stratified DM1 hazard ratios in BRAF V600E+, BRAF-wild-type and RAS-mutant subsets.",prognostic,figure panel description of the genotype interaction Cox model,n/a,supported,"None; correctly describes this as a driver-genotype interaction, not a treatment interaction.",No action needed.,n/a,P3 minor
COMP-001,10_full_manuscript_compiled.md,Title candidates,30,"An 8-gene panel reveals fusion-driven, epigenetically silenced dark matter in BRAF/RAS-negative thyroid cancer",descriptive,"candidate title, not final",n/a,not testable,"Superseded title candidate from the older Cell Reports Medicine-track draft; does not itself invoke RAI-response prediction, so lower priority than the 'RAI-responsiveness panel' naming below.",No action needed for this specific title candidate; ensure this whole compiled draft is either updated to match NC v2 corrections or clearly retired.,n/a,P3 minor
COMP-002,10_full_manuscript_compiled.md,Abstract,65,"**Background.** BRAF- and RAS-negative papillary thyroid carcinoma (PTC), the dark matter representing ~23% of cases, lacks mechanistic sub-stratification, hampering radioiodine (RAI) treatment decisions.",descriptive,background/motivation claim that driver-negative status hampers RAI treatment decisions,"GT5: pooled OR 0.75 (95% CI 0.30-1.87, P=0.53, I2=63%) shows driver class does not consistently discriminate refractoriness across 3 cohorts (n=294); the driver-negative compartment sits at 46-48%, near the cohort mean",partially supported,"The framing ('hampering RAI treatment decisions' due to lack of sub-stratification) is defensible as motivation for building a sub-stratifier, but should not be read as implying driver-negative tumours are intrinsically more RAI-refractory as a group — GT5 shows driver class alone does not reliably discriminate refractoriness.","Add a clarifying clause that driver status alone does not reliably predict RAI refractoriness (cite pooled OR 0.75, P=0.53), which is precisely why a lineage-based sub-stratifier is needed.","BRAF- and RAS-negative papillary thyroid carcinoma (PTC), representing ~23% of cases, lacks mechanistic sub-stratification; driver class alone does not reliably discriminate radioiodine refractoriness (pooled OR 0.75, 95% CI 0.30-1.87, P=0.53 across 3 cohorts), motivating a lineage-based rather than driver-based sub-stratifier.",P2 moderate
COMP-003,10_full_manuscript_compiled.md,Abstract,67,"**Methods.** We applied an 8-gene RAI-responsiveness panel (SLC5A5, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1) to TCGA-THCA (n=504), MSK-IMPACT (n=117), and Korean cohorts (n=865).",predictive,panel name 'RAI-responsiveness panel' implies the panel measures/predicts RAI responsiveness,"GT2: panel shows no detectable association with initial recorded RAI response (d=-0.03 to -0.00, P=0.73-0.91 across five index-course rules)",contradicted,"The panel's own name asserts RAI-responsiveness measurement/prediction. Today's direct test in TCGA-THCA (the very cohort named here) shows no detectable association between the panel and initial RAI response. The name is now empirically falsified as a responsiveness measure; it should be renamed to reflect what the panel actually measures (thyroid-lineage/iodine-handling gene expression), consistent with the terminology already adopted in the current NC v2 draft.","Rename 'RAI-responsiveness panel' to 'thyroid differentiation and iodine-handling panel' (or 'thyroid-lineage panel') throughout this compiled draft, matching NC v2's corrected terminology; do not reintroduce 'RAI-responsiveness' framing anywhere it survives.","We applied an 8-gene thyroid differentiation and iodine-handling panel (SLC5A5, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1) to TCGA-THCA (n=504), MSK-IMPACT (n=117), and Korean cohorts (n=865).",P0 fatal
COMP-004,10_full_manuscript_compiled.md,Abstract,71,"**Conclusions.** DM1 is a fusion-driven, epigenetically silenced subtype, providing a clinical sub-stratification algorithm and motivating evaluation of fusion-targeted therapy and epigenetic-targeted RAI re-induction.",treatment-effect,"conclusion recommends 'evaluation of ... epigenetic-targeted RAI re-induction', framed as motivated by DM1 status",GSE151179 biological anchor only; no direct RAI-response or RAI-treatment-interaction evidence in this draft,partially supported,"Appropriately hedged as 'motivating evaluation of' (forward-looking, not a claim of current efficacy); acceptable under CLAIM_LANGUAGE_MATRIX's 'candidate pretreatment marker' guidance, though should be read alongside the corrected RAI-response null result (GT2) and non-estimable treatment interaction (GT4).",Retain hedged 'motivating evaluation of' language; do not strengthen to 'supports' or 'predicts.',n/a,P2 moderate
COMP-005,10_full_manuscript_compiled.md,Editorial notes,90,"| Conclusions (a) `""rationale for HMA + RAI re-induction trials""` -> (b) `""motivating evaluation of fusion-targeted therapy and epigenetic-targeted RAI re-induction""` | (a) is too forward-looking -- reviewer risk of ""trial rationale with no trial results as a conclusion."" (b) is honest + venue-safe. |",methodological,"internal editorial decision log entry, not manuscript prose",n/a,not testable,Documents prior self-correction of the exact overclaim pattern being audited here; useful precedent for the fixes recommended in this registry.,No action needed (internal log); reuse this precedent when correcting COMP-004 and NCv2-010/037/041.,n/a,P3 minor
COMP-006,10_full_manuscript_compiled.md,Introduction,136,"Despite a >98% five-year overall survival in differentiated thyroid carcinoma, structural disease recurs in approximately 20% of ATA 2015 intermediate-risk patients, and BRAF/RAS-negative tumors — accounting for roughly 23% of cases — complicate radioiodine decisions in the absence of mechanistic sub-stratification.",descriptive,"background/motivation combining OS, structural recurrence rate, and driver-negative RAI-decision complexity",field-standard ATA 2015 statistic + motivation for sub-stratification,supported,"Similar to COMP-002: acceptable motivating background, does not itself assert driver-negative tumours are intrinsically more refractory, but could be strengthened with the new pooled-OR null result.",Optional: add pooled OR 0.75 (P=0.53) citation as in COMP-002.,n/a,P3 minor
COMP-007,10_full_manuscript_compiled.md,Introduction,138,"Together, these gaps motivate orthogonal molecular sub-stratification of clinically heterogeneous tumors, particularly within the BRAF/RAS-negative compartment.",descriptive,motivation statement,n/a,supported,None.,No action needed.,n/a,P3 minor
COMP-008,10_full_manuscript_compiled.md,Introduction,144,"While these frameworks robustly distinguish dominant driver classes, they leave a substantial gap: approximately 23% of TCGA-THCA tumors and up to 37% of Korean cohorts harbor neither BRAF V600E nor RAS hotspot mutations ... the BRAF/RAS-negative compartment in which RAI decisions remain mechanistically untethered.",descriptive,prevalence + motivation claim,TCGA/Korean prevalence figures (existing),supported,"None (motivational, does not assert intrinsic refractoriness).",No action needed.,n/a,P3 minor
COMP-009,10_full_manuscript_compiled.md,Introduction,158,"We applied an 8-gene RAI-responsiveness panel -- independently selected from canonical thyroid differentiation biology (Yoo et al., 2016) before access to the Landa 2016 ATC-silenced gene list -- across TCGA-THCA (n=504), MSK-IMPACT thyroid (n=117), Korean cohorts (n=865), and external single-cell datasets.",predictive,"'RAI-responsiveness panel' naming, repeated in Introduction",GT2: no detectable association with initial RAI response,contradicted,"Same P0 naming issue as COMP-003, repeated in the Introduction (source file 03_introduction.md:37).",Apply the same rename as COMP-003.,"We applied an 8-gene thyroid differentiation and iodine-handling panel -- independently selected from canonical thyroid differentiation biology (Yoo et al., 2016) before access to the Landa 2016 ATC-silenced gene list -- across TCGA-THCA (n=504), MSK-IMPACT thyroid (n=117), Korean cohorts (n=865), and external single-cell datasets.",P0 fatal
COMP-010,10_full_manuscript_compiled.md,Results 2.1,178,"Application of the panel to TCGA-THCA primary tumors (n=504 with overall survival annotation) and unsupervised KMeans clustering on the eight-dimensional transcript space resolved two clusters, which we term DM1 and DM2 (Figure 1A-B). DM1 was enriched within the BRAF/RAS-negative compartment and characterized by partial suppression of differentiation transcripts; DM2 retained higher panel scores.",descriptive,clustering result + driver-negative enrichment description,TCGA clustering analysis,supported,Descriptive clustering result; does not itself claim driver-negative status predicts refractoriness.,No action needed.,n/a,P3 minor
COMP-011,10_full_manuscript_compiled.md,Results 2.1,184,"Take-home: The 8-gene panel defines a transcriptional axis orthogonal to canonical BRAF/RAS classification, robust to candidate-pool choice, and biologically anchored to canonical RAI uptake machinery (Figure 1).",mechanistic,panel is biologically anchored to RAI-uptake machinery (gene selection rationale),gene selection rationale (Yoo 2016),supported,"Acceptable mechanistic framing (genes are chosen because they encode iodine-handling machinery); this is different from claiming the panel predicts RAI response, so no direct conflict, but adjacent to the naming issue -- ensure not conflated with a 'responsiveness' claim.",No action needed for this sentence; keep distinct from renamed panel label.,n/a,P3 minor
COMP-012,10_full_manuscript_compiled.md,Results 2.2,190,"Among the 504 patients with overall survival annotation, DM1 carried a hazard ratio of 2.30 (95% CI 0.77-6.88) versus DM2, although the small event count in TCGA-THCA (16 deaths overall, 3.2% event rate) limited the precision of this single-cohort estimate (Figure 2C).",survival,TCGA OS hazard ratio,TCGA Cox model,supported,None.,No action needed.,n/a,P3 minor
COMP-013,10_full_manuscript_compiled.md,Results 2.2,198,"Take-home: The DM1 cluster carries a pooled overall-survival hazard of 2.53 (95% CI 1.31-4.89, I^2 = 0%) in TCGA + MSK meta-analysis, quantifying clinical aggressiveness within Xing 2014 dark matter at a single-axis molecular level (Figure 6).",survival,pooled OS hazard ratio,TCGA+MSK meta-analysis,supported,None.,No action needed.,n/a,P3 minor
COMP-014,10_full_manuscript_compiled.md,Results 2.4,210,"Combined with the fusion-independent epigenetic silencing signal (2.5a), DM1-positive patients additionally constitute a candidate cohort for prospective evaluation of hypomethylating-agent + radioiodine re-induction.",treatment-effect,forward-looking candidate-cohort statement for future trial evaluation,"n/a (hypothesis-generating, explicitly hedged as 'candidate cohort for prospective evaluation')",not testable,"Appropriately hedged as forward-looking, consistent with CLAIM_LANGUAGE_MATRIX guidance.",No action needed.,n/a,P3 minor
COMP-015,10_full_manuscript_compiled.md,Results 2.5,238,"Therapeutically, the methylation signal -- particularly the extreme TPO suppression (d = 2.30) -- provides a rationale for hypomethylating agents (decitabine, azacitidine) as a candidate epigenetic-targeted RAI re-induction strategy.",treatment-effect,rationale (not evidence) for a future combination-therapy hypothesis,methylation effect size only; no treatment-response data,not testable,Appropriately hedged as 'rationale ... candidate strategy.',No action needed.,n/a,P3 minor
COMP-016,10_full_manuscript_compiled.md,Results 2.5 take-home,240,"Take-home: DM1 harbors fusion-independent promoter hypermethylation of differentiation machinery (TPO Cohen's d = 2.30; mean 8-gene beta 0.385 vs DM2 0.253), adding an epigenetic mechanism layer parallel to fusion drivers and providing a rationale for HMA-based RAI re-induction strategies (Figure 8; within-DM1 fusion-independence support in Supplementary Figure S5b).",mechanistic,methylation effect size + forward-looking rationale,TCGA HM450 methylation analysis,supported (methylation numbers); rationale hedged,None.,No action needed.,n/a,P3 minor
COMP-017,10_full_manuscript_compiled.md,Figure 1 legend,261,The 8-gene RAI-responsiveness panel resolves a DM1/DM2 cluster within papillary thyroid carcinoma. (4 panels v3),predictive,figure title repeats 'RAI-responsiveness panel',GT2: no association with initial RAI response,contradicted,"Same P0 naming issue as COMP-003/009, in the main Figure 1 title.",Apply the same rename.,The 8-gene thyroid differentiation and iodine-handling panel resolves a DM1/DM2 cluster within papillary thyroid carcinoma. (4 panels v3),P0 fatal
COMP-018,10_full_manuscript_compiled.md,Figure 2 legend,271,"(C) Kaplan-Meier overall-survival curves for DM1 (red) versus DM2 (blue) within Xing dark matter (TCGA-THCA, n = 180).",survival,figure panel description,n/a,supported,None.,No action needed.,n/a,P3 minor
COMP-019,10_full_manuscript_compiled.md,Supp Fig SX deconvolution legend,349,(H) Per-driver-class TCGA-THCA cell-type composition (BRAF V600E n = 280 / RAS-mutant n = 54 / driver-negative n = 179).,descriptive,deconvolution panel description by driver class,n/a,supported,None.,No action needed.,n/a,P3 minor
COMP-020,10_full_manuscript_compiled.md,Discussion 3.1,481,"Our panel was selected from canonical RAI-biology genes grounded in Yoo et al. (2016), whereas the Landa framework emerged from advanced-disease transcriptomics.",mechanistic,gene-selection rationale,Yoo 2016 citation,supported,None.,No action needed.,n/a,P3 minor
COMP-021,10_full_manuscript_compiled.md,Discussion 3.2,489,Our findings provide an orthogonal molecular axis for the BRAF/RAS-negative compartment: a positive DM1 RNA score captures 81.8% of TCGA RET-fusion-positive tumors and 76.8% of tyrosine-kinase-fusion-positive DM1 tumors overall.,descriptive,fusion-capture statistic,TCGA fusion analysis,supported,None.,No action needed.,n/a,P3 minor
COMP-022,10_full_manuscript_compiled.md,Discussion 3.2,493,This pattern provides a mechanistic rationale for revisiting hypomethylating-agent-based RAI re-induction with molecular stratification rather than empiric enrollment alone.,mechanistic,rationale statement,n/a,not testable,None (hedged as rationale).,No action needed.,n/a,P3 minor
COMP-023,10_full_manuscript_compiled.md,Discussion 3.2,495,"Taken together, these data support a two-axis clinical framework for the BRAF/RAS-negative compartment: reflex fusion testing for targeted-therapy discovery and DM1-stratified evaluation of epigenetic RAI re-induction strategies.",treatment-effect,"framework-level conclusion, forward-looking",n/a,not testable,None (hedged as 'evaluation').,No action needed.,n/a,P3 minor
COMP-024,10_full_manuscript_compiled.md,"06_discussion.md (Discussion 3.4, source of compiled:511)",47,"Sixth, the panel name explicitly references RAI-responsiveness biology, but no cohort in this study contains prospective post-thyroidectomy RAI outcome data linked to per-sample DM1 calls; consequently, the framework supports prospective evaluation of epigenetic-targeted RAI re-induction as a hypothesis, not an outcome-validated decision rule.",external-validation,claim that no cohort in the study contains RAI outcome data linked to DM1 calls,TCGA-THCA GDC BCR Biotab radiation file contains linked RAI dose/response data for 235 RAI-treated patients with a panel score (167 evaluable response) -- this is the study's own TCGA-THCA cohort,contradicted,"This is the primary FACTUALLY WRONG claim identified by today's audit, verbatim-equivalent to the disallowed pattern in the task brief ('no cohort contains linked RAI outcome data'). TCGA-THCA, already used throughout this manuscript, does contain linked per-course RAI dose and response data via the GDC BCR Biotab radiation file. This sentence also repeats the 'RAI-responsiveness' panel-naming issue (see COMP-003).","Rewrite to (a) drop the false 'no cohort contains...' claim, (b) rename 'RAI-responsiveness biology' per COMP-003's fix, and (c) report the actual TCGA RAI dose/response analysis and its null/prognostic-only findings (GT1-GT4).","The panel was selected on thyroid differentiation and iodine-handling biology. TCGA-THCA contains linked radioiodine dose and per-course response data for a subset of RAI-treated patients (n = 235 with a panel score; n = 167 with an evaluable response). The panel showed no detectable association with initial recorded radioiodine response (d = -0.03 to -0.00, P = 0.73-0.91) but was associated with post-treatment structural events among RAI-treated patients (new tumour event OR 0.221, P = 0.019; persistent disease OR 0.224, P = 0.025); a treatment x score interaction needed to establish a predictive role was not estimable (P = 0.077, 2 events among non-RAI-treated patients).",P0 fatal
COMP-025,10_full_manuscript_compiled.md,06_discussion.md (Discussion 3.4),45,"Third, the MSK-IMPACT cohort is enriched for advanced and treatment-refractory disease, which inflates event rates relative to community PTC; cross-cohort meta-analysis assumes that the DM1 hazard direction generalizes despite this case-mix difference.",external-validation,acknowledged case-mix limitation for OS meta-analysis,n/a,supported,"None (uses 'treatment-refractory' generically for advanced MSK-IMPACT case mix, not an RAI-specific claim).",No action needed.,n/a,P3 minor
COMP-026,10_full_manuscript_compiled.md,Methods / cohort,568,TCGA-THCA (n = 504 with overall survival annotation; 513 primary tumors total).,descriptive,cohort size statement,n/a,supported,None.,No action needed.,n/a,P3 minor
COMP-027,10_full_manuscript_compiled.md,Methods / panel definition,589,"The 8-gene panel (SLC5A5/NIS, TPO, TG, TSHR, PAX8, NKX2-1, FOXE1, DIO1) was selected from the TDS-core sub-category based on canonical RAI-uptake biology (Yoo et al., 2016 *PLOS Genet*) -- independently of and prior to access of the Landa et al. (2016) ATC-silenced gene list.",mechanistic,gene selection rationale,Yoo 2016 citation,supported,None.,No action needed.,n/a,P3 minor
COMP-028,10_full_manuscript_compiled.md,Methods / classifier,595,"For per-sample classification probability (P(DM1)), a logistic regression classifier was trained on the TCGA DM1/DM2 partition using the within-sample-centered profile of the 8-gene panel (mean panel score subtracted), yielding cohort-portable class probabilities (cross-validated AUC = 0.968 in TCGA; Methods, Supplementary Figure S3).",methodological,classifier training/validation description,n/a,supported,"None (classifies DM1/DM2 state, not RAI response).",No action needed.,n/a,P3 minor
COMP-029,10_full_manuscript_compiled.md,Supp / cell-type deconv methods,646,"TCGA nu-SVR cell-type fractions were merged with the cBioPortal `v3_anchor_6class` driver call (BRAF V600E n = 280, RAS-mutant n = 54, driver-negative n = 179; `fusion_calls_per_sample.tsv`) and Cohen's d was computed per cell type for each pairwise contrast.",methodological,deconvolution methods description,n/a,supported,None.,No action needed.,n/a,P3 minor
COMP-030,10_full_manuscript_compiled.md,Reviewer Q&A (A2),685,"This bias is appropriate for the clinical question (RAI decision-making) and is leak-free in cross-validation: 5-fold AUC = 0.962 (8-gene) vs 0.975 (16-gene full TDS-core), ΔAUC = 0.013 NS.",methodological,cross-validated classification AUC for DM1 status (not RAI response),internal cross-validation,supported,"AUC reported here is for DM1/DM2 classification, not for RAI response prediction; phrase 'appropriate for the clinical question (RAI decision-making)' is a framing choice, not a demonstrated RAI-response predictive statistic -- keep these clearly distinguished.",Add a footnote distinguishing DM1-classification AUC from (untested) RAI-response prediction AUC.,n/a,P2 moderate
