query_label	query_term	pmid	year	journal	title	abstract_snippet
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	41853747	2026	ESMO gastrointestinal oncology	Fruquintinib in combination with tislelizumab versus trifluridine/tipiracil and bevacizumab in third-line and beyond MSS mCRC without active liver metastases-the IKF-080/AIO-QUINTIS trial.	Patients with metastatic colorectal cancer (mCRC) who have progressed on fluoropyrimidines, oxaliplatin, irinotecan, anti-angiogenic agents, and anti-epidermal growth factor receptor (EGFR) therapies have limited treatment options and poor prognosis, with a median overall survival (mOS) of &#x223c;6 months on single-agent regorafenib or trifluridine/tipiracil. The addition of bevacizumab to trifluridine/tipiracil improved mOS to 10.8 months, and fruquintinib, a selective vascular endothelial gro
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	40328753	2025	Signal transduction and targeted therapy	First-line treatment of anti-EGFR monoclonal antibody cetuximab β plus FOLFIRI versus FOLFIRI alone in Chinese patients with RAS/BRAF wild-type metastatic colorectal cancer: a randomized, phase 3 trial.	Cetuximab plus irinotecan, fluorouracil, and leucovorin (FOLFIRI) represents a first-line therapeutic standard for RAS/BRAF wild-type metastatic colorectal cancer (mCRC) patients. Despite this established approach, cetuximab &#x3b2; (CMAB009), as a modified antibody of cetuximab, prospectively selected for dual RAS/BRAF wild-type patients, has not yet been validated in the Chinese mCRC patients through phase 3 trial. In this study (ClinicalTrials.gov identifier: NCT03206151), patients with RAS/B
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	40258695	2025	Rozhledy v chirurgii : mesicnik Ceskoslovenske chirurgicke spolecnosti	Neoadjuvant therapy for oligometastatic colorectal cancer.	Every patient with oligometastatic disease should be discussed within a multidisciplinary team.The intention of treating oligometastatic disease is curative in most cases. Surgical treatment is essential, and can be combined with ablation methods. Oncological criteria that describe the risk of progression/relapse help select patients who benefit most from neoadjuvant/perioperative chemotherapy. For optimal selection of systemic treatment for metastatic colorectal cancer, knowledge of predictive 
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	39674570	2025	Clinics and research in hepatology and gastroenterology	Induction triplet chemotherapy in patients with rectal adenocarcinoma and synchronous metastases, an AGEO-FFCD study.	The management of synchronous metastatic rectal cancer (SMRC) is complex and multimodal, involving chemotherapy, surgery and/or radiotherapy. The aim of this study was firstly to confirm the efficacy of the induction FOLFIRINOX, and secondly to evaluate the different therapeutic strategies and outcomes of patients. This French study combined data from a prospective FFCD trial and a multicenter cohort. Patients included had SMRC and had undergone induction triplet chemotherapy. Two groups of pati
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	39591547	2025	JCO oncology practice	Novel Therapies for Pancreatic Cancer.	Pancreatic adenocarcinoma (PDAC) unfortunately remains a highly fatal disease with a 5-year survival rate of only 11%. If surgical resection is not possible, systemic chemotherapy represents the standard-of-care approach to management. Combination chemotherapy regimens using fluorouracil (fluorouracil, oxaliplatin, leucovorin, and irinotecan; and fluorouracil, leucovorin, and oxaliplatin) or gemcitabine with albumin-bound paclitaxel have the potential to improve overall survival for patients wit
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	39072179	2024	World journal of gastrointestinal oncology	BRAF K601E-mutated metastatic colorectal cancer in response to combination therapy with encorafenib, binimetinib, and cetuximab: A case report.	BRAF mutation has been recognized as a negative prognostic marker for metastatic colorectal cancer (mCRC), but these data are from common BRAF V600E-mutated mCRC. Combination therapy of BRAF inhibitor and anti-epidermal growth factor receptor (EGFR) antibody has been approved for BRAF V600E-mutated mCRC. However, BRAF non-V600 mutations are rare mutations, and their clinical behavior is not understood. Moreover, the BRAF K601E mutation is extremely rare in mCRC, and there have been no reports on
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	38263580	2024	Cancer science	Japanese Society of Medical Oncology clinical guidelines: Molecular testing for colorectal cancer treatment, 5th edition.	Molecular testing to determine optimal therapies is essential for managing patients with colorectal cancer (CRC). In October 2022, the Japanese Society of Medical Oncology published the 5th edition of the Molecular Testing Guideline for Colorectal Cancer Treatment. In this guideline, in patients with unresectable CRC, RAS/BRAF V600E mutational and mismatch repair tests are strongly recommended prior to first-line chemotherapy to select optimal first- and second-line therapies. In addition, HER2 
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	38233313	2024	Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver	Triplet chemotherapy plus cetuximab as first-line treatment in extended RAS wild-type metastatic colorectal cancer patients.	Triplet chemotherapy plus cetuximab showed promising results in phase II trials in unsystematically selected RAS population. We evaluated FOLFIRINOX+cetuximab efficacy as first-line treatment in extended RAS wild-type metastatic colorectal cancer (mCRC) patients. We retrospectively analyzed patients treated with FOLFIRINOX+cetuximab, using data from clinical trials and real-life practice. Extended mutation analysis was performed when RAS/BRAF status was unavailable. The primary endpoint was prog
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	38181312	2024	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Fluorouracil, Leucovorin, and Irinotecan Plus Cetuximab Versus Cetuximab as Maintenance Therapy in First-Line Therapy for RAS and BRAF Wild-Type Metastatic Colorectal Cancer: Phase III ERMES Study.	The intensity of anti-EGFR-based first-line therapy for RAS/BRAF wild-type (wt) metastatic colorectal cancer (mCRC), once disease control is achieved, is controversial. A de-escalation strategy with anti-EGFR monotherapy represents a potential option to maintain efficacy while reducing cytotoxicity. In this multicenter, open-label, phase III trial, patients with untreated RAS/BRAF wt mCRC were randomly assigned to receive either fluorouracil, leucovorin, and irinotecan/cetuximab (FOLFIRI/Cet) un
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	37458152	2023	Future oncology (London, England)	The BEETS (JACCRO CC-18) trial: an observational and translational study of BRAF-mutated metastatic colorectal cancer.	For BRAF V600E-mutated metastatic colorectal cancer (mCRC), the BEACON phase 3 trial showed survival benefit of triplet therapy with cetuximab (anti-EGFR antibody), encorafenib (BRAF inhibitor) and binimetinib (MEK inhibitor) as well as doublet therapy with cetuximab and encorafenib over irinotecan-based chemotherapy plus anti-EGFR antibody. Both regimens are standards of care in Japan, but definite biomarkers for predicting efficacy and selecting treatment remain lacking. The mechanisms underly
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	36693125	2023	Cancer discovery	Antibody-Exatecan Conjugates with a Novel Self-immolative Moiety Overcome Resistance in Colon and Lung Cancer.	Antibody-drug conjugates (ADC) using DNA topoisomerase I inhibitor DXd/SN-38 have transformed cancer treatment, yet more effective ADCs are needed for overcoming resistance. We have designed an ADC class using a novel self-immolative T moiety for traceless conjugation and release of exatecan, a more potent topoisomerase I inhibitor with less sensitivity to multidrug resistance (MDR). Characterized by enhanced therapeutic indices, higher stability, and improved intratumoral pharmacodynamic respon
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	36463640	2023	European journal of cancer (Oxford, England : 1990)	Cholangiocarcinoma: what are the options in all comers and how has the advent of molecular profiling opened the way to personalised medicine ?	Cholangiocarcinoma is a deadly cancer comprising very heterogenous subtypes with a limited therapeutic arsenal in all comers. However, recent significant advances were made with immunotherapy in the first-line treatment of advanced cholangiocarcinoma, with the addition of durvalumab to cisplatin-gemcitabine&#xa0;chemotherapy showing a survival benefit. In the second line setting, only FOLFOX (5FU/folinic acid-oxaliplatin) is validated by a phase 3 trial, yet with a very modest benefit on surviva
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	36351210	2023	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Resistance Mechanisms to Anti-Epidermal Growth Factor Receptor Therapy in RAS/RAF Wild-Type Colorectal Cancer Vary by Regimen and Line of Therapy.	Acquired resistance to anti-epidermal growth factor receptor (EGFR) inhibitor (EGFRi) therapy in colorectal cancer (CRC) has previously been explained by the model of acquiring new mutations in KRAS/NRAS/EGFR, among other MAPK-pathway members. However, this was primarily on the basis of single-agent EGFRi trials and little is known about the resistance mechanisms of EGFRi combined with effective cytotoxic chemotherapy in previously untreated patients. We analyzed paired plasma samples from patie
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	36067452	2023	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Acquired Genomic Alterations on First-Line Chemotherapy With Cetuximab in Advanced Colorectal Cancer: Circulating Tumor DNA Analysis of the CALGB/SWOG-80405 Trial (Alliance).	Clinical trials frequently include multiple end points that mature at different times. The initial report, typically based on the primary end point, may be published when key planned co-primary or secondary analyses are not yet available. Clinical Trial Updates provide an opportunity to disseminate additional results from studies, published in JCO or elsewhere, for which the primary end point has already been reported.Acquired genomic alterations (Acq-GAs), specifically RAS, BRAF, and EGFR-ectod
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	35251955	2022	Frontiers in oncology	Response and Disease Dynamics in Untreated Metastatic Colorectal Cancer With Bevacizumab-Based Sequential vs. Combination Chemotherapy-Analysis of the Phase 3 XELAVIRI Trial.	Early tumor shrinkage (ETS), depth of response (DpR), and time to DpR represent exploratory endpoints that may serve as early efficacy parameters and predictors of long-term outcome in metastatic colorectal cancer (mCRC). We analyzed these endpoints in mCRC patients treated with first-line bevacizumab-based sequential (initial fluoropyrimidines) versus combination (initial fluoropyrimidines plus irinotecan) chemotherapy within the phase 3 XELAVIRI trial. DpR (change from baseline to smallest tum
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	34771595	2021	Cancers	Mismatch Repair Status in Patient-Derived Colorectal Cancer Organoids Does Not Affect Intrinsic Tumor Cell Sensitivity to Systemic Therapy.	DNA mismatch repair deficiency (dMMR) in metastatic colorectal cancer (mCRC) is associated with poor survival and a poor response to systemic treatment. However, it is unclear whether dMMR results in a tumor cell-intrinsic state of treatment resistance, or whether alternative mechanisms play a role. To address this, we generated a cohort of MMR-proficient and -deficient Patient-Derived Organoids (PDOs) and tested their response to commonly used drugs in the treatment of mCRC, including 5-fluorou
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	34364814	2021	Clinical colorectal cancer	Rationale and Study Design of the PARERE Trial: Randomized phase II Study of Panitumumab Re-Treatment Followed by Regorafenib Versus the Reverse Sequence in RAS and BRAF Wild-Type Chemo-Refractory Metastatic Colorectal Cancer Patients.	A recent phase II randomized Japanese study reported better survival with regorafenib followed at progression by cetuximab &#xb1; irinotecan compared with the reverse standard sequence in chemo-refractory and anti-EGFR-na&#xef;ve, RAS wild-type (wt) mCRC patients. Nowadays the use of anti-EGFR antibodies is more frequently anticipated to the first-line of therapy especially in patients with left-sided RAS/BRAF wt tumours. However, retrospective analyses and phase II single-arm trials showed prom
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	34281853	2021	Anticancer research	Clinical Impact of Primary Tumor Location and RAS, BRAF V600E, and PIK3CA Mutations on Epidermal Growth Factor Receptor Inhibitor Efficacy as Third-line Chemotherapy for Metastatic Colorectal Cancer.	Primary tumor location and RAS and BRAF V600E mutations are predictors of the efficacy of epidermal growth factor receptor (EGFR) inhibitors. However, there are limited reports on their effects on the outcomes of third-line chemotherapy with EGFR inhibitors in metastatic colorectal cancer (mCRC) patients. We retrospectively collected the clinical data of KRAS exon 2 wild type (WT) mCRC patients treated with EGFR inhibitor monotherapy or EGFR inhibitor plus irinotecan as third-line chemotherapy. 
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	34277827	2021	Annals of translational medicine	Intensive multidisciplinary treatment strategies and patient resilience to challenge long-term survival in metastatic colorectal cancer: a case report in real life and clinical practice.	In fit metastatic colorectal cancer (MCRC), multidisciplinary treatment strategy integrating intensive FIr-B/FOx triplet chemotherapy associated to bevacizumab and secondary metastasectomies significantly improved clinical outcomes up to progression-free survival (PFS) 17 months and overall survival (OS) 44 months. A non-elderly woman affected by rectal cancer, lymph nodes involvement, synchronous unresectable liver metastases, was treated with first-line FIr-B/FOx integrated with two-stage live
H_SN38_BRAF_selectivity	(SN-38 OR SN38) AND (BRAF) AND (selectivity OR sensitivity)	34253874	2021	British journal of cancer	Molecular subtype-specific efficacy of anti-EGFR therapy in colorectal cancer is dependent on the chemotherapy backbone.	Patient selection for addition of anti-EGFR therapy to chemotherapy for patients with RAS and BRAF wildtype metastatic colorectal cancer can still be optimised. Here we investigate the effect of anti-EGFR therapy on survival in different consensus molecular subtypes (CMSs) and stratified by primary tumour location. Retrospective analyses, using the immunohistochemistry-based CMS classifier, were performed in the COIN (first-line oxaliplatin backbone with or without cetuximab) and PICCOLO trial (
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41980919	2026	Signal transduction and targeted therapy	STRATEGIC-1: multiple-line, randomized, open-label GERCOR-PRODIGE-39 phase III trial in unresectable RAS/BRAF wild-type metastatic colorectal cancer.	Managing unresectable metastatic colorectal cancer (mCRC) requires a comprehensive strategy. While chemotherapy, anti-angiogenic, and anti-epidermal growth factor receptor (EGFR) agents are available, strategy trials are needed to optimize their use and sequencing. The STRATEGIC-1 phase III trial (NCT01910610) was designed to determine the optimal treatment sequence in patients with untreated, unresectable wild-type RAS/BRAFV600E mCRC. Patients were randomized (1:1) to FOLFIRI-cetuximab then mFO
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41853747	2026	ESMO gastrointestinal oncology	Fruquintinib in combination with tislelizumab versus trifluridine/tipiracil and bevacizumab in third-line and beyond MSS mCRC without active liver metastases-the IKF-080/AIO-QUINTIS trial.	Patients with metastatic colorectal cancer (mCRC) who have progressed on fluoropyrimidines, oxaliplatin, irinotecan, anti-angiogenic agents, and anti-epidermal growth factor receptor (EGFR) therapies have limited treatment options and poor prognosis, with a median overall survival (mOS) of &#x223c;6 months on single-agent regorafenib or trifluridine/tipiracil. The addition of bevacizumab to trifluridine/tipiracil improved mOS to 10.8 months, and fruquintinib, a selective vascular endothelial gro
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41852303	2026	Cancer medicine	A Randomized Trial of Encorafenib and Cetuximab Versus Irinotecan/Cetuximab or FOLFIRI/Cetuximab in Chinese Patients With BRAF(V600E) Mutant Metastatic Colorectal Cancer: The NAUTICAL Study.	Colorectal cancer (CRC) is a major health burden globally and in China, where 3%-5% of cases involve the BRAFV600E mutation, which is associated with aggressive disease and therefore a poor prognosis. Although the combination of encorafenib and cetuximab has demonstrated improved survival in BRAFV600E mutant metastatic CRC (mCRC), such treatments remain unavailable as chemotherapy-free options in China. The NAUTICAL CRC, a Phase II study in Chinese patients with BRAFV600E mutant metastatic CRC, 
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41647985	2025	ESMO gastrointestinal oncology	Continuum of care and survival in patients with metastatic colorectal cancer: results of the real-world prospective, longitudinal cohort PROMETCO study.	PROMETCO is the first international, prospective study investigating the continuum of care, including prescribing patterns, efficacy and safety in patients with metastatic colorectal cancer (mCRC) at later therapy lines in a real-world setting. Adults with mCRC and two disease progressions since diagnosis of mCRC who were willing to receive subsequent treatment and gave informed consent were included. The study consisted of retrospective medical chart data collection pre-inclusion and a prospect
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41517579	2026	Journal of clinical medicine	Retrospective Analysis of Regorafenib Efficiency in Treatment of Metastatic Colorectal Cancer-Experience of Two Polish Comprehensive Cancer Centers.	Objectives: Colorectal cancer is a major public health concern, ranking third in incidence among all malignant tumors both in Poland and globally. We conducted a retrospective study to evaluate the effectiveness of regorafenib in patients with metastatic colorectal cancer ineligible for local therapy treated at two Polish comprehensive cancer centers between 2021 and 2024. Methods: The analysis included 29 patients who had previously received all standard therapies: fluoropyrimidines, oxaliplati
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41505697	2026	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Upfront Modified FOLFOXIRI Plus Panitumumab for RAS/BRAF Wild-Type Metastatic Colorectal Cancer: Final Results of the Phase III TRIPLETE Study.	We report 5-year results of the phase III randomized TRIPLETE study. Eligible patients with RAS/BRAF wild-type metastatic colorectal cancer (mCRC) received first-line modified fluorouracil, leucovorin, oxaliplatin (mFOLFOX)/panitumumab (control group, n = 217) versus modified fluorouracil, leucovorin, oxaliplatin, irinotecan (mFOLFOXIRI)/panitumumab (experimental group, n = 218). We present overall survival (OS) and updated outcomes in the intention-to-treat population. The median follow-up was 
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41319450	2026	European journal of cancer (Oxford, England : 1990)	Impact of sex on efficacy and safety of 1st-line treatment with FOLFIRI plus cetuximab or bevacizumab in RAS/BRAF wildtype metastatic colorectal cancer - A subgroup analysis of the FIRE-3 (AIO KRK-0306) trial.	Clinical trials in metastatic colorectal cancer (mCRC) are usually conducted irrespectively of sex. However, differences relating to safety and efficacy in the treatment of mCRC between male and female patients are of growing interest. The randomized FIRE-3 study compared first-line treatment with folinic acid, 5-fluorouracil and irinotecan (FOLFIRI) plus cetuximab to FOLFIRI plus bevacizumab in patients with RAS wildtype (RAS WT) mCRC. The present analysis focusses on the impact of sex and prim
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41252656	2026	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Individual Patient Data Meta-Analysis of Consensus Molecular Subtypes as Biomarkers of First-Line Treatment in RAS Wild-Type Metastatic Colorectal Cancer.	Consensus molecular subtypes (CMSs) of metastatic colorectal cancer (mCRC) are debatable biomarkers. An individual patient data (IPD) meta-analysis was performed to test for impact on objective response rates (ORRs), progression-free survival (PFS) and overall survival (OS), and treatment interaction. IPD (RAS wild-type [WT] tumors treated per protocol [fluorouracil/capecitabine, irinotecan/oxaliplatin, anti-vascular endothelial growth factor {VEGF}/anti-epidermal growth factor receptor {EGFR} a
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	41024295	2025	Journal of medical case reports	Advanced-stage colorectal cancer in the context of coronavirus disease-19, highlighting socioeconomic disparities and outcomes: a case report.	This is a case report about how pre-coronavirus disease-19 pandemic health disparities in African Americans with colorectal cancer were compounded and exacerbated by the pandemic's associated delays in screening. A 69-year-old African American male patient presented with a primary concern of hematochezia for 1 week. His history revealed multiple risk factors for colorectal cancer, including obesity, diabetes mellitus, and a family history of colorectal cancer in his grandfather. Of note, his fat
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40930024	2025	ESMO open	Impact of DNA damage repair alterations on real-world response to therapy in metastatic colorectal cancer.	Alterations in DNA damage repair (DDR) pathway genes can be exploited by cytotoxic chemotherapy regimens that induce DNA damage. Platinum chemotherapy has been shown to be particularly effective in DDR-mutated populations. However, the clinical impact of DDR mutations in metastatic colorectal cancer is still unknown. In this retrospective cohort study, we utilized a de-identified nationwide (USA-based) colorectal cancer clinicogenomic database. We included 5607 patients with metastatic colorecta
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40782152	2025	Cancer chemotherapy and pharmacology	NSABP FC-11: A phase II study of neratinib plus trastuzumab or neratinib plus cetuximab in patients with "quadruple wild-type" (KRAS/NRAS/BRAF/PIK3CA) metastatic colorectal cancer based on HER2 status: amplified, non-amplified (wild-type), or mutated.	Patients with KRAS wild-type (wt) metastatic colorectal cancer (mCRC) treated with single-agent cetuximab (C) or panitumumab (P), have improved progression-free survival (PFS) and overall survival (OS) compared to best supportive care but an objective response rate (ORR) of only 13-17%. Preclinical and clinical data suggest that dual targeted therapy (e.g., neratinib [N]&#x2009;+&#x2009;C) may improve overall response rates in tumors that are wt for KRAS, NRAS, BRAF, and PIK3CA (quadruple-wt). N
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40498011	2025	Cells	Strong Hsp90α/β Protein Expression in Advanced Primary CRC Indicates Short Survival and Predicts Response to the Hsp90α/β-Specific Inhibitor Pimitespib.	The prognosis of advanced (UICC IIb-IV) primary colorectal cancer (pCRC) remains poor. More effective targeted therapies are needed. Heat shock protein 90 alpha/beta (Hsp90&#x3b1;/&#x3b2;) expression was immunohistologically quantified in 89 pCRCs and multivariately correlated with survival. Pimitespib (Pim, TAS-116), a Hsp90&#x3b1;/&#x3b2;-specific inhibitor, was tested in pCRC cell lines and patient-derived cancer spheroids (PDCS) and referenced to the pan-Hsp90 inhibitor ganetespib (Gan, STA-
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40460045	2025	Anti-cancer drugs	First-line treatment with a combination of immunotherapy, anti-EGFR monoclonal antibodies, and chemotherapeutics for unresectable left KRAS/BRAF wild-type microsatellite-stable colorectal cancer: a case report.	Immunotherapy shows limited efficacy in microsatellite-stable (MSS) colorectal cancer. This case report describes a 40-year-old male with left-sided kirsten rat sarcoma viral oncogene homolog (KRAS)/v-raf murine sarcoma viral oncogene homolog B (BRAF) wild-type, MSS colorectal cancer and liver metastases who achieved complete regression of metastases following first-line treatment with toripalimab, cetuximab, and FOLFIRI (irinotecan + fluorouracil + leucovorin), enabling curative-intent surgical
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40371599	2025	Future oncology (London, England)	Biomarker testing, treatment patterns and outcomes in previously treated pMMR or non-MSI-H metastatic colorectal cancer patients.	To assess biomarker testing utilization, treatment patterns, and clinical outcomes in previously treated proficient mismatch repair deficient (pMMR) or non-microsatellite instability-high (MSI-H) metastatic colorectal cancer (mCRC) patients. Using the iKnowMed electronic health record database, this study included pMMR/non-MSI-H adult mCRC patients previously treated with standard-of-care (SoC) chemotherapies between 1 January 2016 and 31 December 2021. Patients were censored for overall surviva
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40328753	2025	Signal transduction and targeted therapy	First-line treatment of anti-EGFR monoclonal antibody cetuximab β plus FOLFIRI versus FOLFIRI alone in Chinese patients with RAS/BRAF wild-type metastatic colorectal cancer: a randomized, phase 3 trial.	Cetuximab plus irinotecan, fluorouracil, and leucovorin (FOLFIRI) represents a first-line therapeutic standard for RAS/BRAF wild-type metastatic colorectal cancer (mCRC) patients. Despite this established approach, cetuximab &#x3b2; (CMAB009), as a modified antibody of cetuximab, prospectively selected for dual RAS/BRAF wild-type patients, has not yet been validated in the Chinese mCRC patients through phase 3 trial. In this study (ClinicalTrials.gov identifier: NCT03206151), patients with RAS/B
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	40258695	2025	Rozhledy v chirurgii : mesicnik Ceskoslovenske chirurgicke spolecnosti	Neoadjuvant therapy for oligometastatic colorectal cancer.	Every patient with oligometastatic disease should be discussed within a multidisciplinary team.The intention of treating oligometastatic disease is curative in most cases. Surgical treatment is essential, and can be combined with ablation methods. Oncological criteria that describe the risk of progression/relapse help select patients who benefit most from neoadjuvant/perioperative chemotherapy. For optimal selection of systemic treatment for metastatic colorectal cancer, knowledge of predictive 
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	39903881	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Baseline Liquid Biopsy in Relation to Tissue-Based Parameters in Metastatic Colorectal Cancer: Results From the Randomized FIRE-4 (AIO-KRK-0114) Study.	The FIRE-4 study randomly assigned patients with first-line RAS wild-type (RASwt) metastatic colorectal cancer to either flourouracil (FU), folinic acid, and irinotecan (FOLFIRI) plus cetuximab until progression or intolerable toxicity (standard arm) or to FOLFIRI plus cetuximab followed by a switch maintenance treatment using FU plus bevacizumab (experimental arm). Here, we investigate the relevance of liquid biopsy (LB) RAS and BRAF testing compared with tissue-based analyses. LBs were taken a
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	39891883	2025	International journal of clinical oncology	A phase two trial evaluating FOLFIRI plus aflibercept after failure of FOLFOXIRI plus bevacizumab in patients with unresectable metastatic colorectal cancer.	FOLFOXIRI plus bevacizumab (BEV) is an option for first-line treatment of metastatic colorectal cancer (mCRC). However, there is no consensus on the optimal treatment strategy when disease progresses. The EFFORT open-label, multicenter, single-arm phase II study investigated whether FOLFIRI plus aflibercept retains activity after progression of FOLFOXIRI plus BEV treatment. The patients with unresectable mCRC who failed first-line FOLFOXIRI plus BEV received FOLFIRI plus aflibercept. The primary
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	39761503	2025	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Trastuzumab Plus Pertuzumab Versus Cetuximab Plus Irinotecan in Patients With RAS/BRAF Wild-Type, HER2-Positive, Metastatic Colorectal Cancer (S1613): A Randomized Phase II Trial.	ERBB2 overexpression/amplification in RAS/BRAF wild-type (WT) metastatic colorectal cancer (mCRC; human epidermal growth factor receptor 2 [HER2]-positive mCRC) appears to be associated with limited benefit from anti-EGFR antibodies and promising responses to dual-HER2 inhibition; however, comparative efficacy has not been investigated. We conducted a randomized phase II trial to evaluate efficacy and safety of dual-HER2 inhibition against standard-of-care anti-EGFR antibody-based therapy as sec
T2a_irinotecan_BRAF_CRC	(irinotecan) AND (BRAF) AND (colorectal)	39740847	2025	Anticancer research	Alternating Oxaliplatin and Irinotecan Chemotherapy Combined With Capecitabine and Bevacizumab for Microsatellite-stable Stage IV Metastatic Colon Cancer With a BRAF V600E Mutation: Two Case Reports Indicating Survival Improvement over Standard Therapy.	Colorectal cancer (CRC) has the third-highest incidence among human cancers. Advancements in chemotherapy and targeted therapy have improved the treatment outcomes for patients with CRC. However, the management of patients with unresectable metastatic CRC (mCRC) continues to be a significant challenge for clinicians worldwide, particularly for those with microsatellite stability (MSS) and the BRAF V600E mutation, as they are associated with the poorest prognosis. The present study describes two 
T2b_topoI_BRAF_sens	(topoisomerase I) AND (BRAF) AND (sensitivity)	38130306	2023	Translational cancer research	Role for ubiquitin-specific protease 7 (USP7) in the treatment and the immune response to hepatocellular carcinoma: potential mechanisms.	Ubiquitin-specific protease 7 (USP7) is a deubiquitinating enzyme that can affect or regulate a variety of cellular activities. The purpose of this study was to investigate therapeutic and immunologic effects of USP7 in hepatocellular carcinoma (HCC), and as well to evaluate potential mechanisms of action. USP7-related gene expression and clinical data were obtained from The Cancer Genome Atlas (TCGA) dataset, International Cancer Genome Consortium (ICGC) dataset, and Gene Expression Omnibus (GE
T2b_topoI_BRAF_sens	(topoisomerase I) AND (BRAF) AND (sensitivity)	36693125	2023	Cancer discovery	Antibody-Exatecan Conjugates with a Novel Self-immolative Moiety Overcome Resistance in Colon and Lung Cancer.	Antibody-drug conjugates (ADC) using DNA topoisomerase I inhibitor DXd/SN-38 have transformed cancer treatment, yet more effective ADCs are needed for overcoming resistance. We have designed an ADC class using a novel self-immolative T moiety for traceless conjugation and release of exatecan, a more potent topoisomerase I inhibitor with less sensitivity to multidrug resistance (MDR). Characterized by enhanced therapeutic indices, higher stability, and improved intratumoral pharmacodynamic respon
