sample_short	BRAF	EGFR	MET	RAF1	RET
TCGA-ET-A3BO-01	0.001	0.001	0.001	0.0	-0.002
TCGA-ET-A3BP-01	0.0	0.0	0.0	0.006	0.005
TCGA-ET-A3BQ-01	0.001	0.001	0.001	-0.001	0.0
TCGA-ET-A3BS-01	0.001	0.001	0.001	0.0	-0.001
TCGA-ET-A3BT-01	0.002	0.002	0.002	-0.002	0.0
TCGA-ET-A3BU-01	0.007	0.003	0.002	-0.001	-0.002
TCGA-ET-A3BV-01	0.0	-0.001	0.0	0.001	0.0
TCGA-ET-A3BW-01	0.001	0.001	0.001	0.0	0.0
TCGA-ET-A3BX-01	0.002	0.002	0.002	-0.001	-0.002
TCGA-ET-A3DO-01	-0.001	0.002	0.002	-0.001	-0.003
TCGA-ET-A3DP-01	-0.001	-0.002	-0.001	0.002	0.002
TCGA-ET-A3DQ-01	-0.001	-0.001	-0.001	0.0	0.001
TCGA-ET-A3DR-01	0.003	-0.001	0.003	-0.007	-0.001
TCGA-ET-A3DS-01	0.001	0.001	0.001	-0.002	0.005
TCGA-ET-A3DT-01	0.002	0.002	0.002	-0.001	0.001
TCGA-ET-A3DU-01	0.005	0.001	0.001	-0.001	0.0
TCGA-ET-A3DV-01	-0.003	-0.003	-0.003	0.006	0.002
TCGA-ET-A3DW-01	0.0	0.0	0.0	-0.002	0.0
TCGA-ET-A40P-01	0.0	0.002	0.0	-0.011	0.004
TCGA-ET-A40Q-01	0.001	0.001	0.001	0.0	0.0
TCGA-ET-A40R-01	0.002	0.002	0.002	-0.002	-0.003
TCGA-ET-A40S-01	0.001	0.001	0.001	-0.009	0.001
TCGA-ET-A40T-01	0.001	0.001	0.001	-0.002	0.003
TCGA-ET-A4KN-01	0.0	0.0	0.0	0.001	0.0
TCGA-ET-A4KQ-01	-0.001	-0.001	-0.001	0.0	-0.001
TCGA-FE-A22Z-01	0.001	0.001	0.001	-0.002	-0.004
TCGA-FE-A230-01	0.0	0.0	0.0	0.002	-0.001
TCGA-FE-A231-01	-0.002	-0.002	-0.002	-0.004	0.006
TCGA-FE-A232-01	0.0	0.0	0.0	-0.004	-0.003
TCGA-FE-A233-01	-0.001	0.002	-0.001	0.0	-0.014
TCGA-FE-A234-01	0.001	0.001	0.001	0.001	-0.002
TCGA-FE-A235-01	0.005	0.024	-0.889	0.004	-0.009
TCGA-FE-A236-01	0.001	0.001	0.001	0.0	0.005
TCGA-FE-A237-01	-0.002	-0.001	-0.001	0.001	0.003
TCGA-FE-A238-01	0.007	0.004	0.004	0.001	-0.003
TCGA-FE-A239-01	0.005	-0.002	0.005	-0.008	-0.002
TCGA-FE-A23A-01	0.0	0.0	0.0	-0.004	-0.002
TCGA-FE-A3PA-01	0.002	0.002	0.002	-0.002	0.006
TCGA-FE-A3PB-01	-0.001	-0.001	-0.001	0.0	0.001
TCGA-FE-A3PC-01	0.002	0.002	0.002	-0.004	0.0
TCGA-FE-A3PD-01	-0.001	-0.001	-0.001	0.0	0.003
TCGA-FK-A3S3-01	0.0	0.0	0.0	-0.005	0.0
TCGA-FK-A3SB-01	0.0	0.0	0.0	0.001	0.0
TCGA-FK-A3SD-01	-0.001	-0.001	-0.001	-0.001	-0.001
TCGA-FK-A3SE-01	0.0	0.0	0.0	-0.001	0.002
TCGA-FK-A3SG-01	0.002	0.002	0.002	0.001	0.0
TCGA-FK-A3SH-01	0.013	0.013	0.013	-0.004	-0.005
TCGA-FK-A4UB-01	0.003	0.002	0.003	-0.005	-0.002
TCGA-FY-A2QD-01	-0.003	-0.003	-0.003	-0.002	-0.001
TCGA-FY-A3BL-01	0.002	-0.001	0.002	0.001	0.002
TCGA-FY-A3I4-01	0.001	0.001	0.001	-0.002	0.0
TCGA-FY-A3I5-01	0.758	0.758	0.758	-0.263	-0.278
TCGA-FY-A3NM-01	0.741	0.741	0.741	-0.031	-0.019
TCGA-FY-A3NN-01	0.002	0.002	0.002	0.0	-0.001
TCGA-FY-A3ON-01	0.001	0.001	0.001	-0.011	-0.004
TCGA-FY-A3R6-01	0.004	0.007	0.004	-0.002	-0.001
TCGA-FY-A3R7-01	0.002	0.004	0.004	-0.006	-0.002
TCGA-FY-A3R8-01	0.005	0.005	0.005	0.0	-0.001
TCGA-FY-A3R9-01	0.003	0.003	0.003	-0.003	0.0
TCGA-FY-A3RA-01	0.0	0.0	0.0	0.0	-0.001
TCGA-FY-A3TY-01	0.003	-0.001	-0.001	0.001	-0.003
TCGA-FY-A3W9-01	0.003	0.003	0.003	0.0	0.001
TCGA-FY-A3WA-01	0.015	-0.007	-0.013	-0.006	0.002
TCGA-FY-A3YR-01	0.003	0.003	0.003	-0.003	0.001
TCGA-FY-A40K-01	-0.002	-0.002	-0.002	-0.001	0.004
TCGA-FY-A40L-01	0.0	0.0	0.0	-0.003	-0.001
TCGA-FY-A40M-01	0.025	0.025	0.025	0.002	0.002
TCGA-FY-A40N-01	-0.814	0.0	0.0	-0.003	0.001
TCGA-FY-A4B0-01	0.061	0.061	0.061	0.0	-0.006
TCGA-FY-A4B3-01	-0.005	0.0	-0.005	0.001	-0.002
TCGA-FY-A4B4-01	0.001	0.001	0.001	-0.004	0.0
TCGA-FY-A76V-01	0.0	0.005	0.0	-0.003	0.0
TCGA-GE-A2C6-01	0.004	0.004	0.004	-0.003	0.0
TCGA-H2-A26U-01	0.009	0.009	0.009	-0.007	-0.003
TCGA-H2-A2K9-01	0.0	0.0	0.0	0.002	-0.002
TCGA-H2-A3RH-01	-0.002	-0.002	-0.002	-0.002	0.001
TCGA-H2-A3RI-01	-0.001	-0.001	-0.001	0.0	-0.003
TCGA-H2-A421-01	0.003	0.003	0.003	-0.003	0.0
TCGA-H2-A422-01	0.001	0.001	0.001	0.0	0.0
TCGA-IM-A3EB-01	-0.003	-0.003	-0.003	0.002	0.004
TCGA-IM-A3ED-01	0.002	0.002	0.002	0.002	-0.001
TCGA-IM-A3U2-01	0.005	0.003	0.004	-0.001	-0.002
TCGA-IM-A3U3-01	0.004	0.004	0.004	-0.001	-0.001
TCGA-IM-A41Y-01	0.002	0.002	0.002	0.003	0.0
TCGA-IM-A41Z-01	-0.001	-0.001	-0.001	-0.002	0.0
TCGA-IM-A420-01	-0.002	-0.002	-0.002	-0.006	-0.002
TCGA-IM-A4EB-01	-0.004	0.006	-0.004	-0.002	-0.001
TCGA-J8-A3NZ-01	0.0	0.0	0.0	0.0	0.004
TCGA-J8-A3O0-01	0.0	0.0	0.0	0.043	-0.001
TCGA-J8-A3O1-01	0.785	0.001	0.001	0.003	0.002
TCGA-J8-A3O2-01	0.001	0.0	0.001	-0.002	0.0
TCGA-J8-A3YD-01	-0.001	-0.001	-0.001	0.0	0.001
TCGA-J8-A3YE-01	-0.004	-0.004	-0.004	-0.001	0.003
TCGA-J8-A3YF-01	0.0	0.0	0.0	0.002	0.003
TCGA-J8-A3YG-01	0.002	0.002	0.002	-0.002	-0.004
TCGA-J8-A3YH-01	0.002	0.002	0.002	-0.002	-0.002
TCGA-J8-A42S-01	0.0	0.0	0.0	0.001	-0.001
TCGA-J8-A4HW-01	0.0	0.0	0.0	0.0	-0.001
TCGA-J8-A4HY-01	0.01	0.01	0.01	0.0	-0.003
TCGA-KS-A41F-01	0.0	0.0	0.0	0.0	-0.001
TCGA-KS-A41I-01	0.034	0.034	0.034	-0.005	0.002
TCGA-KS-A41J-01	0.0	0.0	0.0	0.0	-0.002
TCGA-KS-A41L-01	0.01	0.01	0.01	-0.001	0.002
TCGA-KS-A4I1-01	0.002	0.002	0.002	0.0	-0.005
TCGA-KS-A4I3-01	-0.002	-0.001	-0.002	-0.001	0.0
TCGA-KS-A4I5-01	0.0	0.0	0.0	-0.006	0.005
TCGA-KS-A4I7-01	0.0	0.0	0.0	-0.003	0.001
TCGA-KS-A4I9-01	-0.003	-0.003	-0.003	-0.001	0.0
TCGA-KS-A4IB-01	-0.002	-0.002	-0.002	-0.007	0.003
TCGA-KS-A4IC-01	0.003	0.003	0.003	-0.001	0.001
TCGA-KS-A4ID-01	0.659	0.003	0.003	-0.003	-0.002
TCGA-L6-A4EP-01	0.003	0.003	0.003	-0.003	-0.001
TCGA-L6-A4EQ-01	0.002	-0.002	0.002	0.0	-0.002
TCGA-L6-A4ET-01	0.002	-0.001	0.002	0.0	0.0
TCGA-L6-A4EU-01	0.0	0.0	0.0	0.0	0.002
TCGA-MK-A4N6-01	0.001	0.001	0.001	-0.002	0.001
TCGA-MK-A4N7-01	0.0	0.0	0.0	-0.003	0.0
TCGA-MK-A4N9-01	0.001	0.001	0.001	0.001	-0.002
TCGA-MK-A84Z-01	-0.006	-0.008	-0.006	-0.005	0.006
TCGA-QD-A8IV-01	0.001	0.001	0.001	-0.004	0.009
