clean_rank	compound	perturbation_class	proposed_use	evidence_level	thyroid_specific_support	mechanism_rationale	major_caveat	required_validation_assay	proposal_wording_allowed	proposal_wording_forbidden	source	target	drug_id	drug_label	rank_score	n_thyroid_models	spearman_lineage_sensitivity_thyroid	p_lineage_sensitivity_thyroid
39	BLEOMYCIN (10 UM)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=12, rho=0.03, p=0.931; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	MYC	DPC-007403	BLEOMYCIN (10 UM) DPC-007403	0.2606875193513334	12.0	0.0279720279720279	0.9312343512018808
40	BAFILOMYCIN A1	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=0, rho=nan, p=nan; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-000884	BAFILOMYCIN A1 DPC-000884	0.2479267889994811	0.0		
41	NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=10, rho=0.07, p=0.854; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004478	NAVITOCLAX:BIRINAPANT (1:1 MOL/MOL) DPC-004478	0.2359920297884592	10.0	0.066869609804807	0.8543750609172778
42	UNC0638:NAVITOCLAX (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	B	thyroid lines n=11, rho=-0.04, p=0.915; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-006752	UNC0638:NAVITOCLAX (1:1 MOL/MOL) DPC-006752	0.1740749259920029	11.0	-0.0363636363636363	0.9154683168905348
43	DECITABINE:CARBOPLATIN (1:1 MOL/MOL)	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	B	thyroid lines n=10, rho=-0.01, p=0.987; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	CTRP_AUC	DNMT1,DNMT3B	DPC-002111	DECITABINE:CARBOPLATIN (1:1 MOL/MOL) DPC-002111	0.1209826699484445	10.0	-0.006060606060606	0.9867429111949892
44	SELUMETINIB:DECITABINE (4:1 MOL/MOL)	RAI redifferentiation / MAPK-axis modulation	Test RAI redifferentiation and iodide uptake restoration.	C	thyroid lines n=9, rho=0.93, p=0.000236; exploratory small-N	MAPK-axis attenuation is mechanistically linked to thyroid differentiation and RAI redifferentiation hypotheses.	Public screen does not prove NIS induction or iodide uptake restoration.	NIS/SLC5A5, TG/TPO/PAX8 protein/RNA plus iodide uptake after perturbation.	MAPK-axis perturbation class nominated for RAI-restoration testing.	This drug restores RAI sensitivity in patients.	CTRP_AUC	DNMT1,DNMT3B	DPC-005899	SELUMETINIB:DECITABINE (4:1 MOL/MOL) DPC-005899	2.176930542015015	9.0	0.9333333333333332	0.0002358998121594
45	ROMIDEPSIN	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=11, rho=-0.44, p=0.18; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC2_AUC	HDAC1,HDAC2	DPC-005646	ROMIDEPSIN DPC-005646	1.1055954038153348	11.0	-0.4363636363636364	0.1796648765800111
46	DACTINOMYCIN	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=12, rho=-0.40, p=0.199; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	MYC	DPC-000258	DACTINOMYCIN DPC-000258	1.039732864785844	12.0	-0.3986013986013986	0.1993354946178089
47	BIRABRESIB	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=12, rho=0.40, p=0.199; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	MYC	DPC-001105	BIRABRESIB DPC-001105	1.02852510253336	12.0	0.3986013986013986	0.1993354946178089
48	NAVITOCLAX:SORAFENIB (1:1 MOL/MOL)	RAI redifferentiation / MAPK-axis modulation	Test RAI redifferentiation and iodide uptake restoration.	C	thyroid lines n=10, rho=-0.36, p=0.31; exploratory small-N	MAPK-axis attenuation is mechanistically linked to thyroid differentiation and RAI redifferentiation hypotheses.	Public screen does not prove NIS induction or iodide uptake restoration.	NIS/SLC5A5, TG/TPO/PAX8 protein/RNA plus iodide uptake after perturbation.	MAPK-axis perturbation class nominated for RAI-restoration testing.	This drug restores RAI sensitivity in patients.	CTRP_AUC	BCL2L1	DPC-004484	NAVITOCLAX:SORAFENIB (1:1 MOL/MOL) DPC-004484	0.9206738620246164	10.0	-0.3575757575757575	0.3103760917056802
49	CDK9_5576	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=-0.34, p=0.312; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	CDK9	DPC-007408	CDK9_5576 DPC-007408	0.8670598427177156	11.0	-0.3363636363636363	0.3118243139003863
50	VENETOCLAX	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=10, rho=-0.29, p=0.42; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	BCL2	DPC-006825	VENETOCLAX DPC-006825	0.7626184768904156	10.0	-0.2876404837611323	0.4203122854222066
51	JAK1_3715	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=12, rho=0.28, p=0.382; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	JAK1,JAK2,OSMR	DPC-007445	JAK1_3715 DPC-007445	0.7177513131241372	12.0	0.2776240242022099	0.3823021346740217
52	NAVITOCLAX	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=10, rho=-0.27, p=0.446; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004477	NAVITOCLAX DPC-004477	0.7123307222621075	10.0	-0.2727272727272727	0.4458383415427516
53	BRD4132	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=-0.25, p=0.45; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-001290	BRD4132 DPC-001290	0.6562837205490468	11.0	-0.2545454545454546	0.4500365768888283
54	FLAVOPIRIDOL	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.22, p=0.519; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	CDK9	DPC-002788	FLAVOPIRIDOL DPC-002788	0.600990860914189	11.0	0.2181818181818182	0.5192482475549817
55	NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.23, p=0.502; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004479	NAVITOCLAX:GEMCITABINE (1:1 MOL/MOL) DPC-004479	0.600658004378071	11.0	0.2272727272727272	0.501535667604937
56	NAVITOCLAX:PLX-4032 (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.23, p=0.502; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004483	NAVITOCLAX:PLX-4032 (1:1 MOL/MOL) DPC-004483	0.5854787021374128	11.0	0.2272727272727272	0.501535667604937
57	NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.22, p=0.519; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004482	NAVITOCLAX:PLURIPOTIN (1:1 MOL/MOL) DPC-004482	0.5669024010659957	11.0	0.2181818181818182	0.5192482475549817
58	BAY-HDAC11_2	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=10, rho=-0.20, p=0.58; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	HDAC1,HDAC2	DPC-007394	BAY-HDAC11_2 DPC-007394	0.5266362173353891	10.0	-0.1999999999999999	0.5795840000000002
59	NAVITOCLAX:MST-312 (1:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.19, p=0.574; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-004480	NAVITOCLAX:MST-312 (1:1 MOL/MOL) DPC-004480	0.4911309941960664	11.0	0.1909090909090909	0.5739131682855213
60	CDK9_5038	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=-0.16, p=0.631; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	CDK9	DPC-007407	CDK9_5038 DPC-007407	0.4724472600296868	11.0	-0.1636363636363636	0.6306852146425356
61	JAK_8517	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=11, rho=-0.18, p=0.593; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC2_AUC	JAK1,JAK2,OSMR	DPC-007448	JAK_8517 DPC-007448	0.472339686985487	11.0	-0.1818181818181818	0.5926152128455
62	JAK1_8709	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=11, rho=-0.15, p=0.67; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibition can oppose IFN-driven HLA/APM induction; treat as pathway-control hypothesis, not restoration therapy.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC2_AUC	JAK1,JAK2,OSMR	DPC-007446	JAK1_8709 DPC-007446	0.4316685262843837	11.0	-0.1454545454545454	0.6695786456420787
63	BORTEZOMIB	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.14, p=0.689; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-001195	BORTEZOMIB DPC-001195	0.4013670734428952	11.0	0.1363636363636363	0.6893090205863619
64	BAY-HDAC11_1	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=10, rho=-0.16, p=0.651; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	HDAC1,HDAC2	DPC-007393	BAY-HDAC11_1 DPC-007393	0.4011502056589449	10.0	-0.1636363636363636	0.6514773427962428
65	HDAC INHIBITOR XV	HLA/APM restoration / immune visibility modulation	Test HLA/APM protein/RNA rescue in HLA-low tumor territories.	C	thyroid lines n=12, rho=0.13, p=0.688; exploratory small-N	Epigenetic/IFN-related perturbation class can be tested for HLA-I/APM rescue in HLA-low tumor territories.	JAK inhibitors may suppress IFN signaling; do not claim HLA/APM restoration without perturbation-expression rescue data.	HLA-I/HLA-ABC, B2M, TAP1, NLRC5, PSMB8/9 rescue by IFN/HDAC/DNMT perturbation.	Immune-visibility modulation class nominated for HLA/APM rescue assays.	JAK/HDAC/DNMT candidate is proven to restore antigen presentation.	GDSC1_AUC	HDAC1,HDAC2	DPC-003211	HDAC INHIBITOR XV DPC-003211	0.3552951747280724	12.0	0.129597396642594	0.6881039438604583
66	BCL-LZH-4	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=4, rho=-0.20, p=0.8; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-000948	BCL-LZH-4 DPC-000948	0.3480034254586725	4.0	-0.1999999999999999	0.8
67	CDK9 INHIBITOR	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=12, rho=-0.11, p=0.729; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	CDK9	DPC-001556	CDK9 INHIBITOR DPC-001556	0.3380083830906703	12.0	-0.1120842349341354	0.7287361038413869
68	TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.11, p=0.75; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	MYC	DPC-006265	TANESPIMYCIN:BORTEZOMIB (250:1 MOL/MOL) DPC-006265	0.2834331648921743	11.0	0.1090909090909091	0.7495085962341481
69	BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=6, rho=-0.09, p=0.872; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-001233	BRD-K27188169:NAVITOCLAX (2:1 MOL/MOL) DPC-001233	0.1766094187537689	6.0	-0.0857142857142857	0.8717434402332361
70	DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=0.04, p=0.915; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	CTRP_AUC	BCL2L1	DPC-002343	DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL) DPC-002343	0.1249995974934269	11.0	0.0363636363636363	0.9154683168905348
71	BLEOMYCIN (50 UM)	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=11, rho=-0.02, p=0.958; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC2_AUC	MYC	DPC-001133	BLEOMYCIN (50 UM) DPC-001133	0.0981723842556068	11.0	-0.0181818181818181	0.9576852410216188
72	JQ12	Proliferation stress vulnerability	Test aggressive/proliferative niche sensitivity with therapeutic-index controls.	C	thyroid lines n=12, rho=0.01, p=0.983; exploratory small-N	Cell-cycle stress associations may identify aggressive/proliferative niche vulnerabilities.	Could reflect general cytotoxicity rather than niche-specific therapeutic reprogramming.	Ki-67/TOP2A-high organoid/slice viability with therapeutic-index and combination testing.	Proliferative/aggressive niche stress vulnerability for controlled PoC testing.	General cytotoxic drug is a precision thyroid cancer therapy.	GDSC1_AUC	MYC	DPC-003579	JQ12 DPC-003579	0.0506257038656256	12.0	0.0069930069930069	0.9827917689028476
73	Class-level strategy: CSF1R/CXCR4/TGF-beta/FAP-ECM axis	Myeloid/CAF barrier modulation	Test CD8-exclusion and stromal barrier relief in FFPE and fresh tissue models.	C	not directly testable in monoculture public drug screen	Spatial CAF/myeloid-rich excluded niches nominate tissue-level barrier modulation.	Requires myeloid/stromal/tumor tissue context; not validated by DepMap/PRISM monoculture.	mIHC distance-to-CD8 analysis plus fresh tissue slice/co-culture perturbation.	Barrier-modulation class proposed for validation.	Public cell-line data prove CD8-exclusion reversal.	class_strategy	CSF1R,CXCR4,TGFB,FAP/ECM		Class-level strategy: CSF1R/CXCR4/TGF-beta/FAP-ECM axis	0.0			
74	Class-level strategy: delivery-enhancing formulation/imaging	Drug-delivery or nanoparticle distribution validation strategy	Validate drug-delivery failure proxy and rescue strategy by direct imaging.	C	not tested in public drug screen; spatial RNA gives proxy only	ECM/hypoxia-high and vascular-low territories nominate distribution imaging.	Transcriptomics does not measure actual delivery.	Fresh tissue fluorescent drug/liposome/nanoparticle penetration imaging.	Delivery proxy nominates imaging validation experiments.	RNA score proves drug-delivery failure.	class_strategy	fluorescent drug/liposome/nanoparticle imaging		Class-level strategy: delivery-enhancing formulation/imaging	0.0			
